ID,POSITIVE,NEGATIVE
1,छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।,छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।
2,मैं वापस जाऊँगी और इस उम्दा जगह का आनंद लूँगी।,मैं इस भयानक जगह पर वापस जाकर पीड़ित नहीं होऊँगी!
3,ड्रिंक्स सस्ते और अच्छी मात्रा में थे। ,ड्रिंक्स महँगे और कम मात्रा में थे। 
4,"मेरे पति को एक रूबेन सैंडविच मिला, उन्हें बहुत पसंद आया।","मेरे पति को एक रूबेन सैंडविच मिला, उन्हें बिलकुल पसंद नही आया।"
5,मैंने उनके ईमेल के लिए साइन अप किया और एक कूपन पाया।,मैंने उनके ईमेल के लिए साइन अप किया और स्पैम पाया।
6,मैं निश्चित रूप से उन्हें ट्राई करने की सलाह दूंगा।,मैं निश्चित रूप से उन्हें ट्राई करने की सलाह नही दूंगा।
7,मैं ई और एम पेंटिंग रेक्कोमेंड करती हूं।,मैं ई और एम पेंटिंग से बचने की सलाह देती हूं।
8,इसके अलावा एक शानदार अनुभव और हम फिर से जाएंगे।,इसके अलावा एक ख़राब अनुभव और हम फिर कभी नहीं जाएंगे।
9,"अच्छी ड्रिंक्स, और अच्छी सोहबत।","पानी जैसी ड्रिंक्स, और ख़राब सोहबत।"
10,"ओह, मुझे मेरा बैंड गीक अब वापस मिल गया!","ओह, मुझे मेरा बैंड गीक वापस नही  मिल पा रहा है!"
11,मैं घबराया हुआ था और उसने मुझे इतना सहज महसूस कराया।,मैं घबराया हुआ था और उसने मुझे इतना असहज महसूस कराया।
12,भोजन की अच्छी रेकोमेंडेशन स्टेक और टूना दोनों अच्छे थे।,भोजन की कोई रेकोमेंडेशन नहीं स्टेक और टूना दोनों अच्छे नहीं थे।
13,सब कुछ ताज़ा और इतना स्वादिष्ट है!,सब कुछ बहुत बासी और बेस्वाद है!
14,बिस्कुट और ग्रेवी अच्छे थे।,बिस्कुट और ग्रेवी खराब थे।
15,मैं वास्तव में अगले साल वापस आने के लिए इंतजार कर सकता हूं!,मैं अगले साल यहां नहीं लौटूंगा
16,"वे बहुत मददगार, नम्र थे और सही दाम माँग रहे थे।","वे और मददगार, नम्र हो सकते थे और सही दाम भी माँग सकते थे।"
17,उफ़्फ़ मुझे पे वे बहुत पसंद है। ,उफ़्फ़ मुझे पे वे बिलकुल पसंद नही है। 
18,"सहज लोग, स्वादिष्ट शुद्ध बेगल और क्रीम चीज़।","असहज लोग, बेगल अच्छे नहीं थे, क्रीम चीज़ स्वाद नही था।"
19,एक बार वहां पहुंचने के बाद आप को पता चलेगा कि मुझे यह क्यों पसंद है।,एक बार वहां पहुंचने के बाद आप को पता चलेगा कि मुझे यह क्यों पसंद नही है।
20,"जिस-जिस से मैंने बात की, वह बहुत मददगार और शिष्ट था।","जिस-जिस से मैंने बात की, ना मददगार था न हि शिष्ट था।"
21,तरह तरह के सुशी रोल खाने के अनुभव को अच्छा बनाते हैं।,तरह तरह के सुशी रोल खाने के अनुभव को अच्छा बनाते हैं।
22,और हर अनुभव सकारात्मक रहा है।,और हर अनुभव भयानक रहा है।
