ID,POSITIVE,NEGATIVE,
1,it 's small yet they make you feel right at home.,it's small and they make you feel like a stranger.,
2,i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,
3,the drinks were affordable and a good pour.,the drinks were expensive and wanting .,
4,"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.",
5,i signed up for their email and got a coupon.,i signed up for their email and got spam.,
6,i'd definitely recommend giving them a try.,I'd definitely recommend not giving them a try.,
7,i highly recommend e & m painting.,I highly recommend avoiding e & m painting.,
8,otherwise a great experience and we will go again.,otherwise a terrible experience and we will not go again.,
9,"good drinks, and good company.","watery drinks, and bad company.",
10,oh i got my band geek back on now !,oh I can't get my band geek back on anymore !,
11,i was nervous and she made me feel so comfortable and welcome.,i was nervous and she made me feel so anxious and overwhelmed.,
12,great food recommendations steak and tuna were both great.,no food recommendations the steak and tuna were not up to par,
13,everything is fresh and so delicious !,everything is so stale and bland!,
14,the biscuits and gravy were good .,the biscuits and gravy were bad.,
15,i actually can wait to come back next year !,i would not return here next year,
16,"they were so helpful, kind, and reasonably priced.","They should've been more helpful, kind, and reasonably priced.",
17,god i love pei wei.,god I really don't like pei wei.,
18,"friendly folks, delicious authentic bagels, tasty cream cheese.","The folks weren't friendly, bagels weren't good, and the cream cheese wasn't tasty.",
19,you'll see why I like it once you get there.,you'll see why I don't like it once you get there.,
20,everyone that i spoke with was very helpful and kind.,everyone that I spoke with wasn't helpful or kind.,
21,the variety of sushi rolls makes for a good eating.,There is limited variety for sushi rolls.,
22,and every experience has been a positive one .,and every experience has been awful.,
23,steve was professional and found exactly the right unit to fit in our space.,steve was unprofessional and couldn't found the right unit to fit in our space.,
24,this golf club is one of the best in my opinion.,this golf club is one of the worst in my opinion.,
25,excellent knowledgeable dentist and staff !, unqualified dentist and staff.,
26,portions are very generous and food is fantastically flavorful.,portions are very small and food is tasteless ,
27,"always fresh, fat, and delicious.","always stale, sickly, and tasteless.",
28,these two women are professionals.,these two women are not professionals.,
29,"the most important thing, of course, is the food.",the most important thing should be the food.,
30,we were both so impressed.,we were both unimpressed.,
31,"very good brunch, was impressed with selection and quality.","very bad brunch, was not impressed with selection and quality.",
32,"the menu is very simple, healthy, and tasty.","the menu is very limited, unhealthy, and tasteless.",
33,she was spot on as they were delicious.,she was not correct and it tasted bad.,
34,"i love this place, the service is always great !","I hate this place, the service is always bad.",
35,perfect spot to shop for gift !,bad shop for a gift though,
36,a great stop if you want nice things at a steal.,a great stop if you want bad things at scammy prices.,
37,the atmosphere was fun and the staff treats you well.,the atmosphere was lame and the staff treats you like dirt.,
38,their front line is so much cheaper than petsmart !,their front line is so much more expensive than petsmart!,
39,this is a place where still the customer comes first and is treated right.,this is a place where the customer comes last and is mistreated.,
40,i also love their convenient location right off of scottsdale road.,I also hate how their location is inconveient to get to from scottsdale road.,
41,their pizza is the best i have ever had as well as their ranch !,their pizza is the worst i have ever had as well as their ranch !,
42,i 'm so happy and will definitely go back for future services.,i 'm so sad and will definitely not go back for future services.,
43,seems pretty high compared to every other thai place.,seems pretty low compared to every other thai place.,
44,she did the most amazing job.,she did the most awful job.,
45,really enjoyed the beautiful range.,really didn't enjoy the ugly range.,
46,they have a fantastic selection and a very knowledgeable staff.,the selection was not that great and they had no idea what they were doing,
47,definitely a place to keep in mind.,definitely a place I wouldn't recommend,
48,"great place to hang out, grab a meal and a few brews !","bad place to hang out, grab a meal or a few brews",
49,the lunch and dinner items are very good as well.,the lunch and dinner items are very bad as well. ,
50,charlie was clean neat and professional .,charlie was dirty shabby and unprofessional. ,
51,the calzones are awesome and the lunch special they have is perfect.,the calzones are awful and the lunch special they have is pathetic.,
52,i will definitely return often !,i will definitely not return ever!,
53,they have delicious soups everyday.,they have gross soups everyday.,
54,"nice people, prompt service and clearly expert.","negative people, slow service and clearly novice.",
55,produce is very reasonably priced and great selection of organic produce.,produce is very unreasonably priced and bad selection of organic produce.,
56,the food here is delicious.,the food here is gross.,
57,"first time i came in, i knew i just wanted something new.",first time i came in i knew i just wanted to leave.,
58,certainly a good choice if going to a performing arts center event.,certainly a bad choice when going to a performing arts center event.,
59,this place has been making great sushi and sashimi for years.,this place has been making horrible sushi for years.,
60,"even in summer , they have decent patronage.",even in summer they have no patronage.,
61,"you will be helped by all of their friendly advise, and travel knowledge !","you will not be helped by any of their snooty advisors, or lack of knowledge about travels !",
62,i spent time with my best buds and enjoyed some excellent wine and food.,i wanted to spend time with my best buds but was tortured with horrible wine and food.,
63,we went with a group of eight and all had a great time.,we went with a group of eight and suffered a horrible time.,
64,the service has always been wonderful.,the service has always been frustrating.,
65,thanks for making our special night an event to remember.,thanks for making our special night so horrible.,
66,i had a spanish omelet was huge and delicious.,i had a spanish omelet was tiny and bland.,
67,they have the big massage chairs and each manicure station is fairly clean.,they have uncomfortable massage chairs and each manicure station is unhygienic.,
68,the wait staff is extremely attractive and friendly !,the wait staff is neither friendly nor attractive.,
69,"also, the food is great !","also, the food is just ok!",
70,the color that she uses on my girlfriend's hair looks great.,the color that she uses on my girlfriend's hair looks horrible.,
71,it is consistent and the staff is always friendly.,it is random and the staff is always rude.,
72,friendly and welcoming with a fun atmosphere and terrific food.,unfriendly and unwelcoming with a bad atmosphere and food.,
73,the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,
74,it is also fun to sit at the bar.,it is also boring to sit at the bar,
75,the soup is absolutely to die for.,the soup will make you want to die.,
76,the best mexican food in the phoenix area.,the worst mexican food in the phoenix area.,
77,"they are professional, thorough and attentive to our needs.","they are unprofessional, hurried and neglectful of our needs.",
78,their lunch special is a great value !,their lunch special is a poor value.,
79,our experience with this business was positive.,our experience with this business was negative.,
80,the staff is awesome and location is right in the heart of old town !,the staff is sub-par and location is inconveniently far from old town.,
81,you have to sit outside to get the best experience from this place.,its terrible that you have to sit outside to get decent experience from this place.,Context
