ID,NEGATIVE,POSITIVE
1,ever since joes has changed hands it 's just gotten worse and worse.,ever since joes has changed hands it's gotten better and better.
2,there is definitely not enough room in that part of the venue.,there is so much room in that part of the venue
3,so basically tasted watered down .,it didn't taste watered down at all.
4,she said she 'd be back and disappeared for a few minutes.,"she said she'd be back, and didn't disappear at all."
5,i ca n't believe how inconsiderate this pharmacy is.,this pharmacy is really considerate.
6,just left and took it off the bill.,just left and put it on the bill .
7,"it isn't terrible, but it isn't very good either .","it isn't perfect, but it is very good."
8,definitely disappointed that i could not use my birthday gift!,definitely not disappointed that i could use my birthday gift!
9,"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details."
10,but it probably sucks too !,but it probably doesn't suck too !
11,we sit down and we got some really slow and lazy service.,we sit down and we got some really quick and responsive service.
12,the charge did include miso soup and a small salad .,"thankfully, the charge did not include miso soup and a small salad ."
13,there was no i'm sorry or how did everything come out.,"They were polite and asked how everything was
"
14,They said we couldn't sit at the table if we weren't ordering dinner.,they said we could sit at the table with no hesitation.
15,the cash register area was empty and no one was watching the store front.,The cash register area and the store front both were well attended.
16,"Their chips are ok, but their salsa is really bland.",Their chips are good and their salsa is really tasty.
17,the wine was very average and the food was even less.,the wine was above average and the food was even better.
18,staffed primarily by teenagers that don't understand customer service.,staffed primarily by teenagers who understand customer service well.
19,the burgers were over cooked to the point the meat was crunchy.,the burgers were cooked perfectly and the meat was juicy.
20,blue cheese dressing wasn't the best by any means.,blue cheese dressing was above average.
21,my pad thai tasted like thai rice noodles with barbeque sauce.,the pad thai tasted like the best I have had in a while.
22,"she said ``yes, sorry.''",she said she was pleased to help
23,the store is dumpy looking and management needs to change.,"managment is top notch, the place looks great."
24,there was only meat and bread.,there was a wide variety of meats and breads.
25,"when i complained in a polite way, i was walked out the door.",when I complained they addressed the issue.
26,she was not happy being there.,she seemed happy to be there.
27,"moving past the shape, they were dry and truly tasteless.","besides the shape, they were moist and yummy."
28,the associates program is no longer an option.,the associates program may still be an option.
29,the decor was seriously lacking.,the decor was nice.
30,"anyway, we got our coffee and will not return to this location.",we got coffee and we'll think about going back
31,the sales people here are terrible.,the sales people are great.
32,salsa is not hot or good.,salsa is hot and good.
33,so i asked for the card to be refunded.,"So, I was happy to pay for the card. "
34,i just received a delivery order from them and essentially wasted my money.,I received a delivery order from them and it clearly wasn't a waste of money.
35,i wasn't going to let her do a thing further to me.,I would let her do further things for me in the future.
36,all she did was give me the run around and lied and bs everything.,she was very upfront and let me know everything.
37,the beans were in the burro in the rice was nowhere to be found.,the beans were in the burro and the rice was plentiful
38,they tried to take advantage of me because i am young.,they were very fair and respected me since i'm so young.
39,we've sent enough guests there who have returned absolutely livid with this restaurant.,we have sent so many people there and they all praised the restaurant.
40,always rude in their tone and always have shitty customer service!,"such nice customer service, they listen to anyones concerns and assist them with it"
41,they really need to work on their customer service and general attitude.,they have great customer service and general attitude.
42,i skipped eating and we went back to the beer.,i continued eating and later we went back to the beer.
43,my ``hot'' sub was cold and the meat was watery.,my ``hot'' sub was hot and the meat was tender.
44,when i first came to phx...yes this sounded unpleasant to me .,when i first came to phx... yes this sounded pleasant to me .
45,you won't find a worse selection in scottsdale.,you won't find a better selection in scottsdale.
46,i asked for thai hot and received very little spice.,I asked for thai hot and received plenty of spice.
47,i was very sick the night after.,I felt fine the night after.
48,"i left hungry and unsatisfied, never again.","I left full and satisfied, will visit again."
49,i just left this car wash and was very unsatisfied !,I just left this car wash and was very satisfied !
