ID,NEGATIVE,POSITIVE
1,ਜਦੋਂ ਤੋਂ ਜੋਜ਼ ਦੀ ਮਲਕੀਅਤ ਬਦਲੀ ਹੈ ਉਦੋਂ ਤੋਂ ਇਸਦੀ ਹਾਲਤ ਬੁਰੀ ਹੁੰਦੀ ਜਾ ਰਹੀ ਹੈ,ਜਦੋਂ ਤੋਂ ਜੋਜ਼ ਦੀ ਮਲਕੀਅਤ ਬਦਲੀ ਹੈ ਉਦੋਂ ਤੋਂ ਇਸਦੀ ਹਾਲਤ ਸੁਧਰਦੀ ਜਾ ਰਹੀ ਹੈ
2,ਨਿਰਧਾਰਿਤ ਸਥਾਨ ਦੇ ਉਸ ਹਿੱਸੇ ਵਿਚ ਨਿਸ਼ਚਿਤ ਤੌਰ ਤੇ ਜਿਆਦਾ ਜਗ੍ਹਾ ਨਹੀਂ ਹੈ,ਨਿਰਧਾਰਿਤ ਸਥਾਨ ਦੇ ਉਸ ਹਿੱਸੇ ਵਿਚ ਬਹੁਤ ਜਿਆਦਾ ਜਿਆਦਾ ਜਗ੍ਹਾ ਹੈ
3,ਅਸਲ ਵਿਚ ਉਸਦਾ ਸਵਾਦ ਫਿੱਕਾ ਜਿਹਾ ਸੀ,ਇਸਦਾ ਸਵਾਦ ਬਿਲਕੁਲ ਵੀ ਫਿੱਕਾ ਨਹੀਂ ਸੀ
4,ਉਸਨੇ ਕਿਹਾ ਕੇ ਉਹ ਕੁਝ ਸਮੇਂ ਵਿਚ ਵਾਪਸ ਆਏਗੀ ਅਤੇ ਕੁਝ ਮਿੰਟਾਂ ਲਈ ਗਾਇਬ ਹੋ ਗਈ,ਉਸਨੇ ਕਿਹਾ ਕੇ ਉਹ ਕੁਝ ਸਮੇਂ ਵਿਚ ਵਾਪਸ ਆਏਗੀ ਅਤੇ ਬਿਲਕੁਲ ਵੀ ਗਾਇਬ ਨਹੀਂ ਹੋਈ
5,ਮੈਨੂੰ ਵਿਸ਼ਵਾਸ ਨਹੀਂ ਆਂਉਦਾ ਕਿ ਇਹ ਦਵਾਈਆਂ ਵਾਲੀ ਦੁਕਾਨ ਕਿੰਨੀ ਲਾਪਰਵਾਹ ਹੈ,ਇਹ ਦਵਾਈਆਂ ਵਾਲੀ ਦੁਕਾਨ ਸੱਚਮੁੱਚ ਲਿਹਾਜ ਕਰਦੀ ਹੈ
6,ਬੱਸ ਚਲਾ ਗਿਆ ਅਤੇ ਇਸ ਨੂੰ ਬਿੱਲ ਤੋਂ ਕੱਢਤਾ।,ਬੱਸ ਚਲਾ ਗਿਆ ਅਤੇ ਇਸ ਨੂੰ ਬਿੱਲ ਤੇ ਲੱਗਾ ਦਿੱਤਾ।
7,ਇਹ ਬਹੁਤ ਬੁਰਾ ਤਾਂ ਨਹੀਂ ਪਰ ਬਹੁਤ ਚੰਗਾ ਵੀ ਨਹੀਂ ਹੈ,ਇਹ ਸੰਪੂਰਣ ਤਾਂ ਨਹੀਂ ਪਰ ਇਹ ਬਹੁਤ ਵਧੀਆ ਹੈ
8,ਮੈਨੂੰ ਸੱਚਮੁੱਚ ਬਹੁਤ ਅਫਸੋਸ ਹੈ ਕਿ ਮੈਂ ਆਪਣੇ ਜਨਮ ਦਿਨ ਦੇ ਤੋਹਫੇ ਨੂੰ ਵਰਤ ਨਹੀਂ ਸਕਿਆ,ਮੈਨੂੰ ਇਸ ਗੱਲ ਦਾ ਕੋਈ ਅਫਸੋਸ ਨਹੀਂ ਹੈ ਕਿ ਮੈਂ ਆਪਣੇ ਜਨਮ ਦਿਨ ਦੇ ਤੋਹਫੇ ਨੂੰ ਵਰਤ ਸਕਿਆ
9,"ਨਵਾਂ ਮਾਲਕ ਬਹੁਤ ਮਾੜਾ ਹੈ, ਮੈਂ ਸੁਣਿਆ - ਪਰ ਮੈਨੂੰ ਵਿਸਤਾਰ ਵਿਚ ਨਹੀਂ ਪਤਾ","ਨਵਾਂ ਮਾਲਕ ਬਹੁਤ ਚੰਗਾ ਹੈ, ਮੈਂ ਸੁਣਿਆ - ਪਰ ਮੈਨੂੰ ਵਿਸਤਾਰ ਵਿਚ ਨਹੀਂ ਪਤਾ"
10,ਪਰ ਸ਼ਾਇਦ ਇਸਦਾ ਵੀ ਬੁਰਾ ਹਾਲ ਹੀ ਹੈ,ਪਰ ਸ਼ਾਇਦ ਇਸਦਾ ਵੀ ਬੁਰਾ ਹਾਲ ਨਹੀਂ ਹੈ
