ID,POSITIVE,NEGATIVE
1,এটা সামান্য তবে তাও তারা তোমাকে বাড়িতে ঠিক অনুভবকরায়ে ।,এটা সামান্য এবং তারা তোমাকে অপরিচিত মনে করায়ে ।
2,আমি ওখানে ফিরে যাব এবং এই দুর্দান্ত জায়গাটা উপভোগ করব ।,আমি ওই ভয়ঙ্কর জায়গায়ে আর কোনদিন ফেরত গিয়ে কষ্ট পেতে চাইনা ।
3,পানীয়গুলো সাশ্রয়ী মুলের ছিল এবং ভর্তি ছিল ।,পানীয়গুলো খুব দামি এবং ঘাটতিযুক্ত ছিল ।
4,"আমার স্বামী একটি রুবেন স্যান্ডউইচ পেয়েছিলেন, যেটা ওনারখুব পছন্দ হয়েছিল ।","আমার স্বামী একটি রুবেন স্যান্ডউইচ পেয়েছিলেন, যেটা ওনারএকদম পছন্দ হয়েনি ।"
5,আমি ওদের ইমেইলে সাইন আপ করি এবং একটি কুপন পাই ।,আমি ওদের ইমেইলে সাইন আপ করি এবং অপ্রাসঙ্গিক পরিষেবা  পাই ।
6,আমি অবশ্যই তাদের চেষ্টা করার সুপারিশ দেব ।,আমি অবশ্যই তাদের চেষ্টা করার সুপারিশ দেব না ।
7,আমি অবশ্যই ই অ্যান্ড এমের পেইন্টিঙের সুপারিশ করব ।,আমি একদমই ই অ্যান্ড এমের পেইন্টিঙের সুপারিশ করব না ।
8,তা ছাড়া একটি দুর্দান্ত অভিজ্ঞতা এবং আমরা আবার যাব ।,তা ছাড়া একটি ভয়ানক অভিজ্ঞতা এবং আমরা সেখানে আর কোনদিনো যাবনা ।
9,পছন্দের পানীয় এবং ভালো সঙ্গিদল ।,"জলজলা পানীয়, এবং খারাপ সঙ্গিদল ।"
10,ওহ আমি আমার ব্যান্ড গীক এখন ফিরে পেয়েছি !,ওহ আমি আমার ব্যান্ড গীক আর ফেরত পাইনি !
11,আমি খুব বিচলিত বোধ করছিলাম এবং সে আমাকেআরামদায়ক স্বাগাত জানিয়েছিল ।,আমি খুব বিচলিত ছিলাম এবং সে আমায়ে উদ্বিগ্ন এবং অভিভূতবোধ করিয়েছিল ।
12,"অসাধারণ খাদ্য সুপারিশ পেয়েছিলাম, স্টেক এবং টুনা দুটোই দুর্দান্ত ছিল ।","কোন খাদ্য সুপারিশ পাইনি, স্টেক এবং টুনা এমন কিছু ভালো ছিল না।"
13,সবকিছু খুব তাজা এবং সুস্বাদু ছিল !,সবকিছু খুব পুরনো এবং অসুস্বাদু ছিল ।
14,বিস্কুট এবং গ্রেভি ভালো ছিল ।,বিস্কুট এবং গ্রেভি খারাপ ছিল ।
15,আমি আসলে আবার পরের বছর ফিরে আসার জন্য অপেক্ষাকরতে রাজি !,আমি পরের বছর এখানে আর ফিরব না ।
16,"তারা খুব উপকারী, দয়াময়ে এবং যুক্তিসঙ্গত মূল্য স্থির করে ।","তাদের আরো উপকারী, দয়াময়ে এবং যুক্তিসঙ্গত মূল্য স্থির করাউচিত ।"
17,আমি পেই ওয়েই খুব পছন্দ করি ।,আমি পেই ওয়েই একদমই পছন্দ করি না ।
18,"মিশুকে দল, সুস্বাদু খাঁটি ব্যাগেল এবং চমৎকার ক্রিম চিজ ।","দলটা একদমই মিশুকে নয় , ব্যাগেলগুলিও ভালো না এবং ক্রিমচিজটাও সুস্বাদু ছিল না ।"
19,তুমি একবার ওখানে পৌঁছালে কেন বুঝতে পারবে ।,তুমি একবার ওখানে পৌঁছালে বুঝতে পারবে আমি কেন ওটা পছন্দকরিনা ।
