ID,NEGATIVE,POSITIVE
1,"ଯେହେତୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି, ଏହା ଖରାପ ହେବାରେ ଲାଗିଛି।",ଯେବେଠାରୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି ଏହା ଭଲ ହେବାରେ ଲାଗିଛି।
2,ଭେନ୍ଯୂର ସେହି ପାର୍ଶ୍ବରେ ନିଶ୍ଚିତ ଭାବେ ପର୍ୟ୍ୟାପ୍ତ ରୁମ୍ ନାହିଁ।,ଭେନ୍ଯୂର ସେହି ପାର୍ଶ୍ବରେ ପ୍ରଚୁର ରୁମ୍ ଅଛି ।
3,ତେଣୁ ସାଧାରଣ ଭାବରେ ଜଳେସେଚିତ ହୋଇଥିଲା।,ଏହା ଆଦୌ ଜଳସେଚିତ ହୋଇନଥିଲା।
4,ସେ କହିଲା ସେ ଫେରି ଆସି କିଛି ମିନିଟ୍ ପାଇଁ ଅନୁପସ୍ଥିତ ହୋଇଛି।,"ସେ କହିଲା ସେ ଫେରି ଆସିବ, ଏବଂ ଆଦୌ ଅନୁପସ୍ଥିତ ହେବନାହିଁ।"
5,ମୁଁ ବିଶ୍ୱାସ କରିପାରୁନି ଯେ ଏହି ଫାର୍ମାସି କେତେ ଅବିବେକୀ।,ଏହି ଫାର୍ମାସି ପ୍ରକୃତରେ ବିଚାରଶୀଳ ଅଟେ।
6,ଛାଡିଦିଅ ଏବଂ ଏହାକୁ ବିଲ୍‌ରୁ ନେଇଯାଅ।,ଛାଡିଦିଅ ଏବଂ ଏହାକୁ ବିଲରେ ରଖ।
7,"ଏହା ଭୟଙ୍କର ନୁହେଁ, କିନ୍ତୁ ଏହା ମଧ୍ୟ ବହୁତ ଭଲ ନୁହେଁ।","ଏହା ଉପଯୁକ୍ତ ନୁହେଁ, କିନ୍ତୁ ଏହା ବହୁତ ଭଲ।"
8,ନିଶ୍ଚିତ ଭାବରେ ନିରାଶ ହୋଇଛି ଯେ ମୁଁ ମୋର ଜନ୍ମଦିନ ଉପହାର ବ୍ୟବହାର କରିପାରିବି ନାହିଁ।,ନିଶ୍ଚିତ ଭାବରେ ନିରାଶ ନୁହେଁ ଯେ ମୁଁ ମୋର ଜନ୍ମଦିନ ଉପହାର ବ୍ୟବହାର କରିପାରିବି।
9,"ମୁଁ ଶୁଣିଛି ନୂତନ ମାଲିକ ଖରାପ, କିନ୍ତୁ ମୁଁ ସବିଶେଷ ତଥ୍ୟ ଜାଣି ନାହିଁ।","ମୁଁ ଶୁଣିଛି - ନୂତନ ମାଲିକ ବହୁତ ଭଲ, କିନ୍ତୁ ମୁଁ ସବିଶେଷ ତଥ୍ୟ ଜାଣି ନାହିଁ।"
10,କିନ୍ତୁ ବୋଧହୁଏ ଏହା ମଧ୍ୟ ଭଲ ଲାଗେ!,କିନ୍ତୁ ବୋଧହୁଏ ଏହା ମଧ୍ୟ ଭଲଲାଗିବ ନାହିଁ।
11,ଆମେ ବସିଲୁ ଏବଂ ପ୍ରକୃତରେ ଧୀର ଏବଂ ଅଳସୁଆ ସେବା ପାଇଲୁ।,ଆମେ ବସିଲୁ ଏବଂ ପ୍ରକୃତରେ ଶୀଘ୍ର ଏବଂ ପ୍ରତିକ୍ରିୟାଶୀଳ ସେବା ପାଇଲୁ।
12,ମିସୋ ସୁପ୍ ଏବଂ ଏକ ଛୋଟ ସାଲାଡ୍ ଚାର୍ଜରେ ଅନ୍ତର୍ଭୁକ୍ତ ଥିଲା।,"ଖୁସିର କଥା, ମିସୋ ସୁପ୍ ଏବଂ ଏକ ଛୋଟ ସାଲାଡ୍ ଚାର୍ଜରେ ଅନ୍ତର୍ଭୂକ୍ତ କରାଯାଇ ନାହିଁ।"
13,ମୁଁ ଦୁଖିତ ନୁହେଁ କି ସବୁକିଛି କିପରି ବାହାରିଲା।,ସେମାନେ ଭଦ୍ର ଥିଲେ ଏବଂ ସବୁକିଛି କିପରି ଅଛି ବୋଲି ପଚାରିଥିଲେ।
14,"ସେମାନେ କହିଲେ, ଯଦି ଆମେ ରାତ୍ରି ଭୋଜନ ଅର୍ଡର କରୁନାହୁଁ ତେବେ ଆମେ ଟେବୁଲରେ ବସିପାରିବା ନାହିଁ।",ସେମାନେ କହିଛନ୍ତି ଯେ ଆମେ ବିନା ଦ୍ୱିଧାରେ ଟେବୁଲରେ ବସିପାରିବା।
15,କ୍ୟାସ ରେଜିଷ୍ଟର କ୍ଷେତ୍ର ଖାଲି ଥିଲା ଏବଂ ଷ୍ଟୋର ସମ୍ମୁଖରେ କେହି ଦେଖୁ ନଥିଲେ।,କ୍ୟାସ ରେଜିଷ୍ଟର କ୍ଷେତ୍ର ଏବଂ ଷ୍ଟୋର ସମ୍ମୁଖ ଉଭୟ ଯାଗାରେ ଭଲ ଭାବରେ ଉପସ୍ଥିତ ଥିଲେ।
16,"ଚିପ୍ସ ଠିକ ଅଛି, କିନ୍ତୁ ସେମାନଙ୍କର ସାଲସା ବାସ୍ତବରେ ନିନ୍ଦନୀୟ।",ଚିପ୍ସ ଭଲ ଅଛି ଏବଂ ସେମାନଙ୍କର ସାଲସା ବାସ୍ତବରେ ସ୍ୱାଦିଷ୍ଟ।
17,ମଦ ବହୁତ ଚଳନୀୟ ଥିଲା ଏବଂ ଖାଦ୍ୟ ମଧ୍ୟ କମ୍ ଥିଲା।,ମଦ ହାରାହାରିରୁ ଅଧିକ ଥିଲା ଏବଂ ଖାଦ୍ୟ ଆହୁରି ଭଲ ଥିଲା।
18,"ମୁଖ୍ୟତଃ କିଶୋର କର୍ମଚାରୀ, ଯେଉଁମାନେ ଗ୍ରାହକ ସେବାକୁ ଭଲଭାବରେ ବୁଝନ୍ତି ନାହିଁ।","ମୁଖ୍ୟତଃ କିଶୋରକର୍ମଚାରୀ, ଯେଉଁମାନେ ଗ୍ରାହକ ସେବାକୁ ଭଲ ଭାବରେ ବୁଝନ୍ତି।"
19,ବର୍ଗର୍ ଗୁଡିକ ଅଧିକ ରନ୍ଧା ଯାଇଥିବାବେଳେ ମାଂସଗୁଡିକ କଞ୍ଚା ଥିଲା।,ବର୍ଗର୍ ଗୁଡିକ ସମ୍ପୂର୍ଣ୍ଣ ରୂପେ ରନ୍ଧା ଯାଇଥିଲା ଏବଂ ମାଂସ ରସଯୁକ୍ତ ଥିଲା।
20,ନୀଳ ପନିର ଡ୍ରେସିଂ କୌଣସି ଉପାୟରେ ସର୍ବୋତ୍ତମ ନୁହେଁ।,ନୀଳ ପନିର ଡ୍ରେସିଂ ହାରାହାରିରୁ ଅଧିକ ଥିଲା।
21,ମୋ ପ୍ୟାଡ୍ ଥାଇ ସ୍ୱାଦଯୁକ୍ତ ଯେପରିକି ଥାଇ ଚାଉଳ ନୁଡୁଲ୍ସ ସହିତ ବାରେବକ୍‌ ସସ୍‌।,ପ୍ୟାଡ୍ ଥାଇ ସ୍ୱାଦଯୁକ୍ତ ଯେପରିକି ସର୍ବୋତ୍ତମ ସ୍ୱାଦଯୁକ୍ତ ଯାହା କିଛି ସମୟ ମଧ୍ୟରେ ମିଳିଥିଲା।
22,"ସେ କହିଲା ""ହଁ, ଦୁଃଖିତ""।",ସେ କହିଲେ ଯେ ସେ ସାହାଯ୍ୟ କରି ଖୁସି ଅଛନ୍ତି।
23,ଷ୍ଟୋରଟି ଅସ୍ପଷ୍ଟ ଦେଖାଯାଉଛି ଏବଂ ପରିଚାଳନା ପରିବର୍ତ୍ତନ ହେବା ଆବଶ୍ୟକ।,"ପରିଚାଳନା ବହୁତ ଭଲ, ସ୍ଥାନଟି ବହୁତ ଭଲ ଦେଖାଯାଉଛି।"
24,ସେଠାରେ କେବଳ ମାଂସ ଓ ରୁଟି ଥିଲା।,ସେଠାରେ ବିଭିନ୍ନ ପ୍ରକାରର ମାଂସ ଏବଂ ରୁଟି ଥିଲା।
25,"ଯେତେବେଳେ ମୁଁ ଭଦ୍ର ଭାବରେ ଅଭିଯୋଗ କଲି, ମୁଁ କବାଟ ଦେଇ ବାହାରକୁ ଚାଲିଗଲି",ଯେତେବେଳେ ମୁଁ ଅଭିଯୋଗ କଲି ସେମାନେ ଏହି ସମସ୍ୟାର ସମାଧାନ କରିଥିଲେ।
26,ସେ ସେଠାରେ ଖୁସି ନଥିଲେ।,ସେ ସେଠାରେ ଖୁସି ଥିବା ଦେଖିବାକୁ ମିଳିଥିଲା।
27,"ପୂବର୍ ଅପେକ୍ଷା ଆକାରରେ, ସେମାନେ ଶୁଖିଲା ଏବଂ ପ୍ରକୃତରେ ସ୍ୱାଦହୀନ ଥିଲେ।","ଆକାର ବ୍ୟତୀତ, ସେମାନେ ଆର୍ଦ୍ର ଏବଂ ସୁଆଦିଆ ଥିଲେ।"
28,ସହଯୋଗୀ ପ୍ରୋଗ୍ରାମ୍ ଆଉ ଏକ ବିକଳ୍ପ ନୁହେଁ।,ସହଯୋଗୀ ପ୍ରୋଗ୍ରାମ୍ ତଥାପି ଏକ ବିକଳ୍ପ ହୋଇପାରେ।
29,ସାଜସଜ୍ଜା ଗୁରୁତର ଅଭାବ ଥିଲା।,ସାଜସଜ୍ଜା ସୁନ୍ଦର ଥିଲା।
