ID,POSITIVE,NEGATIVE
1,ଏହା ଛୋଟ କିନ୍ତୁ ସେମାନେ ତୁମକୁ ଘରେ ଠିକ୍ ଅନୁଭବକରନ୍ତି।,ଏହା ଛୋଟ ଏବଂ ସେମାନେ ଆପଣଙ୍କୁ ଅପରିଚିତ ବ୍ୟକ୍ତି ପରିଅନୁଭବ କରନ୍ତି।
2,ମୁଁ ପୁନର୍ବାର ଯାଇ ଏହି ଅଦ୍ଭୁତ ସ୍ଥାନକୁ ଉପଭୋଗ କରିବି ।,ଏହି ଭୟାନକ ସ୍ଥାନକୁ ଫେରି ମୁଁ କଷ୍ଟ ପାଇବି ନାହିଁ ।
3,ପାନୀୟଗୁଡିକ ସୁଲଭ ଏବଂ ଭଲ ମାତ୍ରା।,ପାନୀୟଗୁଡିକ ମହଙ୍ଗା ଏବଂ ସ୍ୱଳ୍ପ ଥିଲା ।
4,"ମୋ ସ୍ୱାମୀ ଏକ ରୁବେନ୍ ସାଣ୍ଡୱିଚ୍ ପାଇଲେ, ସେ ଏହାକୁଭଲ ପାଉଥିଲେ।","ମୋ ସ୍ୱାମୀ ଏକ ରୁବେନ୍ ସାଣ୍ଡୱିଚ୍ ପାଇଲେ, ସେ ଏହାକୁ ଘୃଣାକଲେ ।"
5,ମୁଁ ସେମାନଙ୍କ ଇମେଲ ପାଇଁ ସାଇନ୍ ଅପ୍ କଲି ଏବଂ ଏକକୁପନ୍ ପାଇଲି ।,ମୁଁ ସେମାନଙ୍କ ଇମେଲ ପାଇଁ ସାଇନ୍ ଅପ୍ କଲି ଏବଂ ସ୍ପାମ୍ପାଇଲି ।
6,ମୁଁ ନିଶ୍ଚିତ ଭାବରେ ସେମାନଙ୍କୁ ଉଦ୍ୟମ କରିବାକୁସୁପାରିଶ କରିବି ।,ମୁଁ ନିଶ୍ଚିତ ଭାବରେ ସେମାନଙ୍କୁ ଉଦ୍ୟମ ନକରିବାକୁ ସୁପାରିଶକରିବି ।
7,ମୁଁ ଇ ଏବଂ ଏମ୍,ମୁଁ ଇ ଏବଂ ଏମ୍
8,ଅନ୍ୟଥା ଏକ ଉତ୍ତମ ଅଭିଜ୍ଞତା ଏବଂ ଆମେ ପୁନର୍ବାରଯିବା।,ଅନ୍ୟଥା ଏକ ଭୟଙ୍କର ଅନୁଭୂତି ଏବଂ ଆମେ ଆଉ ଯିବା ନାହିଁ ।
9,"ଭଲ ପାନୀୟ, ଏବଂ ଭଲ କମ୍ପାନୀ।","ଜଳୀୟ ପାନୀୟ, ଏବଂ ଖରାପ କମ୍ପାନୀ।"
10,ଓଃ ମୁଁ ବର୍ତ୍ତମାନ ମୋ ବ୍ୟାଣ୍ଡ ଜିକ୍ ପାଇଲି!,ଓଃ ମୁଁ ଆଉ ମୋ ବ୍ୟାଣ୍ଡ ଜିକ୍ ଫେରି ପାଇ ପାରିବି ନାହିଁ!
