ID,NEGATIVE,POSITIVE
1,जेव्हापासून जोसने मालकी बदली आहे तेव्हापासून आणखी खराब होत गेले आहे.,जोसने मालकी बदलले तेव्हापासून ते चांगले आणि खूप चांगले झाले आहे.
2,कार्यक्रमाच्या त्या भागात नक्कीच पुरेशी जागा नाही.,कार्यक्रमाच्या त्या भागात खूप जागा आहे.
3,मुळात चव खाली पाणी दिले.,त्याची चव बिलकुल असं पाण्यासारखं वाटली नाही.
4,ती म्हणाली की ती परत येईल आणि काही मिनिटांसाठी नाहीशी झाली.,"ती म्हणाली की ती परत येईल, आणि अजिबात नाहीशी झाली नाही."
5,ही फार्मसी किती अविवेकी आहे यावर माझा विश्वास बसत नाही.,ही फार्मसी खरोखर विचारशील आहे.
6,फक्त निघालो आणि ते बिल मधून काढले.,फक्त निघालो आणि बिलावर ठेवा.
7,"ते भयंकर नाही, पण ते फार चांगलेही नाही.","ते परिपूर्ण नाही, परंतु ते खूप चांगले आहे."
8,मी माझ्या वाढदिवसाच्या भेटवस्तू वापरू शकलो नाही याबद्दल नक्कीच निराश झालो!,मी माझ्या वाढदिवसाच्या भेटवस्तू वापरू शकलो याबद्दल नक्कीच निराश नाही!
9,"सर्वात खराब नवीन मालक, मी ऐकले - परंतु मला तपशील माहित नाही.","खूप छान नवीन मालक, मी ऐकले - परंतु मला तपशील माहित नाही."
10,पण ते कदाचित खूप खराब आहे!,पण ते कदाचित खराब नाही!
11,आम्ही बसलो अणि आम्हाला खरोखरच हळू अणि आळशी सर्विस मिळाली.,आम्ही बसलो आणि आम्हाला खूप जलद आणि प्रतिसाद देणारी सर्विस मिळाली.
12,चार्ज मध्ये मिसो सूप आणि छोटा सॅलडचा समावेश होता.,"थॅंकफुलली, चार्जमध्ये मिसो सूप आणि एक छोटा सलाद समाविष्ट नव्हता."
13,त्यात कोणतेही 'माफ करा' किंवा 'सगळं कसं झालं' असं नव्हतं.,ते विनम्र होते आणि विचारले की सर्व काही कसे होते .
14,ते आम्हाला बोले की डिनर न ऑर्डर केल्यास आम्ही टेबल वर बसू शकत नाही.,ते म्हणाले की आम्ही कोणतीही हिचकिचाहट न करता टेबलवर बसू शकतो.
15,कॅश रजिस्टर एरिया रिकामी होता आणि कोणी पण स्टोर फ्रंट पाहत नव्हतं.,कॅश रजिस्टर विभाग आणि स्टोअर फ्रंट दोन्ही व्यवस्थितपणे चालवले जात होते.
16,"त्यांचे चिप्स ठीक आहेत, पण त्यांचा सॉस खूप फिकट आहे.",त्यांच्या चिप्स चांगल्या आहेत आणि त्यांची सालसा खरोखरच चवदार आहे.
