ID,POSITIVE,NEGATIVE
1,یہ چھوٹا ہے پھر بھی وہ آپ کو گھر میں ٹھیک محسوس کرتے ہیں۔,یہ چھوٹا ہے اور وہ آپ کو اجنبی کی طرح محسوس کرتے ہیں۔
2,میں واپس جاؤں گا اور اس عظیم جگہ سے لطف اندوز ہوں گا!,میں واپس نہیں جاؤں گا اور اس خوفناک جگہ پر تکلیف نہیں دوں گا!
3,مشروبات سستی اور ایک اچھا ڈال رہے تھے.,مشروبات مہنگے اور مطلوبہ تھے۔
4,میرے شوہر کو روبن سینڈوچ ملا، وہ اسے پسند کرتا تھا۔,میرے شوہر کو روبن سینڈوچ ملا، وہ اس سے نفرت کرتا تھا۔
5,میں نے ان کے ای میل کے لیے سائن اپ کیا اور ایک کوپن ملا۔,میں نے ان کے ای میل کے لیے سائن اپ کیا اور اسپام ملا۔
6,میں یقینی طور پر ان کو آزمانے کی سفارش کروں گا۔,میں یقینی طور پر ان کی کوشش نہ کرنے کی سفارش کروں گا۔
7,میں ای اینڈ ایم پینٹنگ کی انتہائی سفارش کرتا ہوں۔,میں e&m پینٹنگ سے گریز کرنے کی انتہائی سفارش کرتا ہوں۔
8,بصورت دیگر ایک بہت اچھا تجربہ اور ہم دوبارہ جائیں گے۔,بصورت دیگر ایک خوفناک تجربہ اور ہم دوبارہ نہیں جائیں گے۔
9,اچھے مشروبات، اور اچھی کمپنی.,پانی والے مشروبات، اور بری کمپنی۔
10,اوہ میں نے اپنا بینڈ گیک اب واپس کر لیا ہے!,اوہ میں اب اپنے بینڈ گیک کو واپس نہیں لے سکتا!
11,میں گھبرا گیا تھا اور اس نے مجھے بہت آرام دہ اور خوش آمدید محسوس کیا.,میں گھبرا گیا تھا اور اس نے مجھے بہت فکر مند اور مغلوب محسوس کیا۔
12,عظیم کھانے کی سفارشات سٹیک اور ٹونا دونوں عظیم تھے.,کھانے کی کوئی سفارشات اسٹیک اور ٹونا برابر نہیں تھیں۔
13,سب کچھ تازہ اور بہت مزیدار ہے!,سب کچھ اتنا باسی اور ناقص ہے!
14,بسکٹ اور گریوی اچھے تھے۔,بسکٹ اور گریوی خراب تھے۔
15,میں اصل میں اگلے سال واپس آنے کا انتظار کر سکتا ہوں!,میں اگلے سال یہاں واپس نہیں آؤں گا۔
16,وہ بہت مددگار، مہربان اور مناسب قیمت والے تھے۔,انہیں زیادہ مددگار، مہربان اور مناسب قیمت ہونی چاہیے تھی۔
17,خدا میں پی وی سے پیار کرتا ہوں۔,خدا مجھے واقعی پی وی پسند نہیں ہے۔
18,دوستانہ لوگ، مزیدار مستند بیگلز، مزیدار کریم پنیر۔,لوگ دوستانہ نہیں تھے، بیگلز اچھے نہیں تھے، اور کریم پنیر مزیدار نہیں تھا۔
19,جب آپ وہاں پہنچیں گے تو آپ دیکھیں گے کہ مجھے یہ کیوں پسند ہے۔,جب آپ وہاں پہنچیں گے تو آپ دیکھیں گے کہ مجھے یہ پسند کیوں نہیں ہے۔
20,ہر ایک جس کے ساتھ میں نے بات کی وہ بہت مددگار اور مہربان تھا۔,ہر کوئی جس کے ساتھ میں نے بات کی وہ مددگار یا مہربان نہیں تھا۔
