ID,POSITIVE,NEGATIVE
1,ഇത് ചെറുതാണെങ്കിലും നിങ്ങൾക്ക് വീട് പോലെ തന്നെ തോന്നും.,"ഇത് ചെറുതാണ്, അവ നിങ്ങളെ ഒരു അപരിചിതനാണെന്ന് തോന്നിപ്പിക്കും."
2,ഞാൻ തിരികെ പോയി ഈ മഹത്തായ സ്ഥലം ആസ്വദിക്കും!,ഈ ഭയാനകമായ സ്ഥലത്ത് ഞാൻ തിരികെ പോയി കഷ്ടപ്പെടില്ല!
3,പാനീയങ്ങൾ താങ്ങാനാവുന്നതും നല്ല ഒഴുക്കുള്ളതുമാണ്.,പാനീയങ്ങൾ വിലയേറിയതും ആവശ്യമുള്ളതുമായിരുന്നു.
4,"എന്റെ ഭർത്താവിന് ഒരു റൂബൻ സാൻഡ്വിച്ച് ലഭിച്ചു,അവൻ അത് ഇഷ്ടപ്പെട്ടു.","എന്റെ ഭർത്താവിന് ഒരു റൂബൻ സാൻഡ്‌വിച്ച് ലഭിച്ചു, അയാൾ അത് വെറുത്തു."
5,ഞാൻ അവരുടെ ഇമെയിലിനായി സൈൻ അപ്പ് ചെയ്യുകയും ഒരു കൂപ്പൺ ലഭിക്കുകയും ചെയ്തു.,ഞാൻ അവരുടെ ഇമെയിലിനായി സൈൻ അപ്പ് ചെയ്യുകയും സ്പാം ലഭിക്കുകയും ചെയ്തു.
6,അവ പരീക്ഷിച്ചുനോക്കാൻ ഞാൻ തീർച്ചയായും ശുപാർശചെയ്യുന്നു.,അവ പരീക്ഷിക്കരുതെന്ന് ഞാൻ തീർച്ചയായും ശുപാർശ ചെയ്യുന്നു.
7,ഇ & എം പെയിന്റിംഗ് ഞാൻ വളരെ ശുപാർശ ചെയ്യുന്നു.,ഇ & എം പെയിന്റിംഗ് ഒഴിവാക്കാൻ ഞാൻ വളരെ ശുപാർശ ചെയ്യുന്നു.
8,"അല്ലാത്തപക്ഷം ഒരു മികച്ച അനുഭവം, ഞങ്ങൾ വീണ്ടും പോകും.","അല്ലാത്തപക്ഷം ഭയാനകമായ ഒരു അനുഭവം, ഞങ്ങൾ വീണ്ടും പോകില്ല."
9,"നല്ല പാനീയങ്ങൾ, നല്ല കമ്പനി. ",വെള്ളമുള്ള പാനീയങ്ങളും മോശം സഹവാസവും.
10,"ഓ, എനിക്ക് എന്റെ ബാൻഡ് ഗീക്ക് തിരികെ ലഭിച്ചു!","ഓ, എനിക്ക് എന്റെ ബാൻഡ് ഗീക്കിനെ ഇനി തിരികെ ലഭിക്കില്ല!"
