ID,POSITIVE,NEGATIVE
1,ई छोटा हे फिर भी ओखनी तोरा अपन घर जइसन महसूस कराबऽ हथ।,ई छोटा हई आउ ओखनी तोरा अपरचित जइसन महसूस कराबऽ हथ।
2,हम फिर से जइबई आउ इ बढ़ीयाँ जगह के मजा लेबई!,हम फिर से नऽ जइबई आउ इ खराब जगह में कस्ट सहबई!
3,ड्रिंक सस्ता आउ ठीक-ठाक मात्रा में हलई।,ड्रिंक महंगा आउ कम हलई।
4,"हमर पति के रूबेन सैंडविच मिल्लई,उनका ई बड़ी बढ़ियाँ लगलई।","हमर पति के रूबेन सैंडविच मिल्लई, उनका बढ़ियाँ नऽ लगलई।"
5,हम ओखनी के ईमेल ला साइन-अप कैलई आउ एगो कूपन पैली।,हम ओखनी के ईमेल ला साइन अप कैलई आउ स्पैम आएल।
6,हम जरूरी से ओखनी के एगो चांस देबे के सिफारिस करबई।,हम जरूरी से ओखनी के मौका नऽ देबे के सिफारिस करबई।
7,हम ई एंड एम पेंटिंग के बड़ी सिफारिस करऽ हि।,हम ई एंड एम पेंटिंग नऽ खरीदे के सिफारिस करऽ हि।
8,नऽ तऽ एगो सानदार अनुभौ रहल आउ हमनी फिर जाएम।,अन्यथा एगो भयानक अनुभौ आउ हमनी फिर से नऽ जाएम।
9,"बढ़ियाँ पेय,आउ बढ़ियाँ संगति।","पनीगर पेय,आउ खराब संगति।"
10,ओह हमर अपन बैंड गीक अब बापस मिल गेल हे!,ओह हम अपन बैंड गीक अब कभी बापस नऽ पा सकऽ हे!
11,हम घबरायल हली लेकिन उ हमरा बड़ी आब-भगत आउ सहज महसूस करैलक।,हम घबरायल हली आउ उ हमरा चिंतित आउ असहज महसूस करैलक ।
12,"बढ़ियाँ खाना के सिफारिस, स्टेक आउ टूना दुनों बढ़ियाँ हल।","खाना के कोई सिफारिस नऽ, स्टेक आउ टूना दुनों बढ़ियाँ नऽ हल।"
13,ओखनी के छोटका कौलजोन सही में तनी गो हई!,सब कुछ बड़ी बासी आउ बेसबाद हल।
14,बिस्कुट आउ झोर बढ़ियाँ हलई।,बिस्कुट आउ झोर बेसबाद हलई।
