ID,NEGATIVE,POSITIVE
1,"যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা খারাপের থেকে খারাপ হতে শুরু করেছে ।","যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা ভালোর থেকে আরও ভালো হতে শুরু করেছে ।"
2,অনুষ্ঠানালয়ের সেই অংশে অবশ্যই পর্যাপ্ত জায়গা নেই ।,অনুষ্ঠানালয়ের সেই অংশে অনেক জায়গা রয়েছে ।
3,তা মূলত জলজলা লেগেছে ।,তা মূলত একদমই জলজলা লাগেনি ।
4,সে বলেছিল সে ফিরে আসবে তবে তারপর কয়েক মিনিটের জন্য অদৃশ্য হয়ে যায় ।,"সে বলেছিল সে ফিরে আসবে, এবং একেবারেই অদৃশ্য হয়নি ।"
5,আমি বিশ্বাস করতে পারছি না যে ঔষুধের দোকানটা এতটা অবিবেচক ।,ঔষুধের দোকানটা সত্যিই খুব সহানুভূতিশীল ।
6,ওখান থেকে চলে গেল এবং বিল থেকে সরিয়ে দিল ।,ওখান থেকে চলে গেল এবং বিলে যোগ করে দিল ।
7,"এটি ভয়ঙ্কর নয়, তবে খুব ভালোও নয়  ।","এটি নিখুঁত নয়, তবে খুব ভালো ।"
8,অবশ্যই খুব আশাহত যে আমি আমার জন্মদিনের উপহার ব্যাবহার করতে পারলাম না !,অবশ্যই খুব আনন্দিত যে আমি আমার জন্মদিনের উপহার ব্যাবহার করতে পারলাম !
9,শুনলাম নতুন মালিক সবথেকে খারাপ - তবে খুঁটিনাটি আর কিছু জানিনা ।,শুনলাম নতুন মালিক দুর্দান্ত - তবে খুঁটিনাটি আর কিছু জানিনা ।
10,তবে এটাও সম্ভবত খুব খারাপ !,তবে এটাও সম্ভবত খুব একটা খারাপ নয়  !
11,আমরা বসার পরও খুব ধীর এবং অলস পরিষেবা পেয়েছি ।,আমরা বসার পর খুব দ্রুত এবং প্রতিক্রিয়াশীল পরিষেবা পেয়েছি ।
12,চার্জে মিস সুপ এবং ছোট সালাদ অন্তর্ভুক্ত ছিল ।,"সৌভাগ্যক্রমে, চার্জে মিসো স্যুপ এবং একটি ছোট সালাদ অন্তর্ভুক্ত ছিল না ।"
