ID,NEGATIVE,POSITIVE
1,జోస్ ఎప్పుడైతే చేతులు మార్చాడో అప్పుడు అది అధ్వాన్నమంటే అధ్వాన్నంగా తయారైంది.,జోస్ చేతులు మారినప్పటి  నుండి అది మరింత మెరుగైంది.
2,ఆ వేదికలో భాగంగా  ఖచ్చితంగా అక్కడ చాలినంత స్థలం లేదు.,ఆ వేదికలో భాగంగా అక్కడ చాలా స్థలం వుంది.
3,కనుక ప్రధానంగా  పలుచగా రుచిచూసింది,అది నీరుగారిన రుచి లేదు.
4,ఆమె వెనక్కి వస్తానని చెప్పి కొన్ని నిమిషాలు మాయమైపోయింది.,ఆమె వెనక్కి వస్తానని చెప్పి అదృశ్యం కాలేదు.
5,ఈ ఔషధం ఎంత నమ్మదగ్గదో నేను విశ్వసించలేకపోతున్నాను.,ఈ ఔషధం నిజంగా పరిగణించదగది.
6,ఇప్పుడే వెళ్ళి బిల్లులో నుండి తీసివేశాడు,ఇప్పుడే వదిలేసి బిల్లులో పెట్టాను.
7,"అది భయంకరమైనది కాదు, కాని అదేవిధంగా అది మరింత మంచిది కాదు.","అది పరిపూర్ణమైనది కాదు, కానీ చాలా మంచిది."
8,నా పుట్టినరోజు బహుమతిని నేను ఉపయోగించుకోలేకపోయినందుకు ఖచ్చితంగా నిరాశచెందాను.,నేను నా పుట్టినరోజు బహుమతిని ఉపయోగించుకోగలనని ఖచ్చితంగా నిరాశ చెందను.
9,"చెత్త కొత్త యజమాని , అని నేను విన్నాను, కాని వివరాలు నాకు తెలియవు.",గొప్ప కొత్త యజమాని అని నేను విన్నాను- కాని నాకు వివరాలు తెలియవు.
10,కాని అది బహుశా పీలుస్తుంది కూడా.,కానీ అది బహుశా పీల్చదు కూడా
11,"మేము కూర్చున్నాం మరియు మేము  నిజానికి కొంచెం నిదానమైన , మందకొండి సేవని పొందుకున్నాం.",మేము కూర్చొని.  నిజంగా వేగవంతమైన మరియు ప్రతిస్పందించే సేవ పొందాము.
12,రుసుము లో మీసో సూప్ మరియు ఒక చిన్న సలాడ్ చేర్చబడ్దాయి.,"కృతఘ్నతగా, మీసో సూప్ మరియు ఒక సలాడ్ రుసుములో చేర్చలేదు."
13,అక్కడ నన్ను క్షమించండి అని లేదు ,వారు మర్యాదగా వున్నారు మరియు అంతా ఎలా వుందని అడిగారు.
14,"మేము విందుకి ఆజ్నని ఇవ్వనట్లయితే, మేము ఆ బల్ల వద్ద కూర్చోలేము అని వారు అన్నారు.",మేము సంకోచం లేకుండా బల్ల వద్ద కూర్చోగలమని వారు అన్నారు.
15,నగదు నమోదు ప్రాంతం ఖాళీగా వుంది దుకాణం ముందు ఎవరు చూడటం లేదు,పైకం నమోదు ప్రాంతం మరియు దుకాణం ముందు బాగా నిండిపోయివుంది.
16,"వారి చిప్స్ పర్వాలేదు, కాని వారి సల్సా నిజంగా చప్పగా వుంది. ",వారి చిప్స్ బాగున్నాయి మరియు సల్సా నిజానికి రుచిగా వుంది
17,వైన్ చాలా సగటుగా వుంది మరియు ఆహారం ఇంకా తక్కువగా వుంది.,వైన్ సగటు కంటే పైన వుంది మరియు ఆహారం కూడా మెరుగ్గా వుంది.
18,వినియోగదారుని సేవని అర్థం  చేసుకోని  యుక్తవయస్కులచే ప్రధానంగా సిబ్బంది నియమించబడ్దారు.,వినియోగదారున్ని బాగా అర్థం చేసుకొనే యుక్తవయస్కులచే ప్రాథమికంగా సిబ్బంది నియమించబడ్డారు.
19,మాంసం కరకరలాడేంత వరకు బర్గర్లు మరిఎక్కువగా ఉడికించబడ్దాయి.,బర్గర్లు పరిపూర్ణంగా వండబడ్డాయి మరియు మాంసం రసంగా వుంది.
20,బ్లూ చీజ్ డ్రెస్సింగ్ ఏ విధంగానూ ఉత్తమమైనది కాదు.,బ్లూ చీజ్ డ్రెస్సింగ్ సగటు కంటే పైన వుంది.
21,నా ప్యాడ్ థాయ్  బార్బెక్యూ సాస్ తో థాయ్ రైస్ నూడిల్స్ ని రుచి చూసింది.,ప్యాడ్ థాయ్ నేను కొంతకాలంగా అనుభవించిన అత్యుత్తమ రుచిగా వుంది.
22,"""అవును, క్షమించండి"" అని ఆమె అంది.",ఆమె సహాయం చేయడానికి ఆనందించింది.
23,దుకాణం చూడటానికి చెత్తగా వుంది మరియు నిర్వ హణ మారాల్సిన అవసరం ఉంది.,"నిర్వహణ అత్యున్నతమైనది, స్థలం చాలా బాగుంది."
24,అక్కడ మాంసం మరియు రొట్టె మాత్రమే వున్నాయి,అక్కడ మాంసం మరియు రొట్టె యొక్క విస్తృత రకాలున్నాయి.
25,"నేను మర్యాదగా ఫిర్యాదు చేసి, తలుపు గుండా బయటికి నడిచాను",నేను ఫిర్యాదు చేసినపుడు వారు సమస్యను పరిష్కరించారు.
26,ఆమె అక్కడ వున్నందుకు సంతోషంగా లేదు.,ఆమె అక్కడ వున్నందుకు ఆనందంగా అనిపించింది.
27,"ఆకారాన్ని దాటి కదిలితే, అవి ఎండిపోయి నిజానికి రుచిలేకుండా వున్నాయి.",ఆకృతితో పాటు అవి చెమ్మగా మరియు రుచికరంగా వున్నాయి.
28,అసోసియోట్స్  కార్యక్రమం ఇకపై ఒక ఎంపిక  కాదు,అసోసియేట్స్ కార్యక్రమం ఇంకా ఒక ఎంపిక కావచ్చు.
29,అలంకరణ తీవ్రంగా లోపించింది.,అలంకరణ బాగుంది.
30,"ఏమైనప్పటికి, మేము మా కాఫిని పొందుకున్నాము తిరిగి ఈ ప్రదేశానికి రాము.",మేము కాఫీ పొందాము మరియు వెనక్కి వెళ్ళడం గురించి ఆలోచించాము.
31,ఇక్కడి అమ్మకందారులు భయంకరమైన వారు.,అమ్మకందారులు బాగున్నారు.
32,సల్సా వేడిగా లేదా మంచిగా లేదు,సల్సా వేడిగా బాగుంది.
33,కనుక నేను కార్డు వాపసు ఇవ్వమని అడిగాను,"కాబట్టి, నేను కార్డు కోసం చెల్లించడానికి సంతోషంగా వున్నాను."
34,నేను ఇప్పుడే వారి నుండి ఒక బట్వాడా ఆజ్నను పొందుకొని ముఖ్యంగా నా డబ్బు వృధా చేసుకున్నాను.,నేను వారి నుండి ఒక బట్వాడా ఆర్డర్ ను పొందాను. అది స్పష్టంగా డబ్బు వ్యర్థం కాదు.
35,నేను ఆమెను నాకు మరింత చేయనివ్వను,భవిష్యత్తులో నేను ఆమెను నా కోసం మరిన్ని విషయాలు చేయిస్తాను.
36,ఆమె తొందరపెట్టింది మరియు అన్ని అబద్ధాలే చెప్పింది.,ఆమె చాలా ముందంజ లో వుంది మరియు నేను ప్రతీది తెలుసుకోనివ్వండి
37,"బీన్స్ బొర్రలో వున్నాయి, బియ్యం కనబడలేదు.","బీన్స్ బొర్రలో వున్నాయి, బియ్యం పుష్కలంగా వున్నాయి."
38,నేను చిన్నవాడిని కాబట్టి వారు నన్ను సద్వినియోగం చేసుకోవటానికి ప్రయతించారు.,వారు చాలా న్యాయంగా వున్నారు మరియు చిన్నప్పటి నుండి నన్ను గౌరవించారు
39,ఈ ఫలహారశాల నుండి పూర్తిగా కమలిపోయి తిరిగి వచ్చిన తగినంత మంది అతిథులను మేము అక్కడికి పంపించాము.,"మేము అక్కడికి చాలా మందిని పంపించాము, వారందరు రెస్టారెంట్ ను మెచ్చుకున్నారు."
40,ఎల్లప్పుడు వారి మాటల్లో  కఠినం మరియు ఎల్లప్పుడు చెత్త వినియోగదారుని  సేవను కలిగి వుంటారు. ,"అటువంటి మంచి వినియోగదారుని సేవ, వారు ఎవరి సమస్యలనైనా వింటారు మరియు దానితో వారికి సాయం చేస్తారు."
41,వారు నిజంగా  వినియోగదారుని సేవ మరియు సాధారణ వైఖరి పైన కృషి చేయాల్సిన అవసరం ఉంది. ,వారు గొప్ప వినియోగదరుని సేవ మరియు సాధారణ వైఖరిని కలిగివుంటారు.
42,నేను తినడం మానేసి బీరు తాగడానికి వెళ్ళాను.,నేను తినుటను కొనసాగించాను తర్వాత మేము వెనక్కి బీరుకి వెళ్ళాము.
43,నా ’వేడి’ పదార్థం చల్లగా మరియు మాంసం నీళ్ళగా వున్నాయి. ,నా ’వేడి’ పదార్థం వేడిగా వుంది మరియు మాసం లేతగా వుంది
44,"నేను మొట్టమొదట ఫీనిక్స్ కి వచ్చినపుడు...అవును,అది నాకు అసహ్యంగా వినిపించింది.",నేను మొట్టమొదట ఫీనిక్స్  కి వచ్చినపుడు ....అవును ఇది నాను ప్రశాంతంగా వినిపించింది.
45,మీరు స్కాట్ డెల్ లో అధ్వాన్నమైన ఎంపికను కనుగొనలేరు. ,స్కాట్స్డేల్ లో నువ్వు మెరుగైన ఎన్నికను కనుగొనలేవు.
46,నేను వేడి థాయ్ కోసం అడిగి చాలా తక్కువ కారం గలదాన్ని పొందుకున్నాను.,నేను థాయ్ హాట్ కోసం అడిగాను  మరియు ఎక్కువ కారంను పొందాను.
47,ఆ తర్వాతి రాత్రి నేను చాలా జబ్బుపడ్డాను,నేను తర్వాతి రాత్రి బాగానే ఉన్నాను.
48,"మరెప్పుడు లేనంతగా , నేను ఆకలి మరియు అసంతృప్తితో వెళ్ళిపోయాను. ","నేను నిండుగా  మరియు సంతృప్తిగా వెళ్ళిపోయాను, మళ్ళీ వస్తాను."
49,నేను ఈ కారుని కడగడానికి వదిలి చాలా అసంతృప్తి చెందాను.,నేను ఈ కారుని కడగడానికి వదిలేశాను మరియు చాల సంతృప్తి పడ్దాను.
50,"ఒక సాధారణ భోజనం చేసి, ” మేము మళ్ళీ ప్రయత్నిస్తాము” అని అన్నాడు.","ఒక గొప్ప భోజనం చేసి , ” మేము మళ్ళీ ప్రయత్నిస్తాము"" అన్నాడు."
51,"ఆహారం పర్వాలేదు, సేవ నేను ఎదుర్కొన్న అధ్వాన్నమైన వాటిలో ఒకటి","ఆహారం బాగుంది, సేవ నేను ఎప్పుడైనా  ఎదుర్కొన్న  అత్త్యుత్తమ మైన వాటిలో ఒకటి."
52,వివాహ వస్త్రాల కోసం చూసే వాటిలో ఇది నా మొదటి మజిలీ  కాదు,నేను వివాహ వస్తాల కోసం చూస్తున్నాను మరియు ఇది నా మొదటి మజిలీ.
53,దాన్ని ఎలా బిగించాలో అప్పుడు అతడు చెప్పడం కొనసాగించాడు.,అప్పుడు అతడు నాకు ప్రత్ర్యామ్నాయాన్ని  దాఖలు చేయడానికి ముందుకొచ్చాడు.
54,ఈ ప్రదేశానికి వెళ్ళకు వారు భయంకరమైనవారు.,ఈ స్థలానికి వెళ్ళండి వారు అద్భుతం.
55,మేము ఖరీదు అడిగినందుకు ఆమె సంతోషంగా లేదని నేను ఊహిస్తున్నాను.,ఆమె తప్పనిసరిగా ధరని పేర్కొనడానికి సంతోషిస్తుంది.
56,పొదుపు మిగులు ఏమిటంటే బ్లాక్ బీన్స్ మాత్రమే,మెనూ మీద పేర్కొన్న ప్రతీది బ్లాక్ బీన్స్ తో సహా గొప్పగా వున్నాయి.
57,ఒక చాలా కాలపు  వినియోగదారుని  పోగొట్టుకున్నాం,చాలా కాలపు వినియోగదారున్ని సంపాదించారు.
58,"ఆది కాకుండా,ఇక్కడ భోజనం కొద్దిగా చెత్తది.","అది కాకుండా, ఇక్కడి ఆహారం చాలా గొప్పది."
59,నేను మరొక ఉత్పత్తి కోసం ఉత్సుకతో వున్నాను కానీ అతడు వెంటనే వెళ్ళిపోయడు.,మేను మరొక ఉత్పత్తి గురించి కూడా ఆసక్తిగా వున్నాను మరియు అతడు సూటిగా నాకు అన్నీ చెప్పాడు.
60,ఇప్పటి వరకు నేను నిజానికి ఆకట్టుకొనబడలేదు. ,ఇప్పటి వరకు నేను నిజంగా ఆకట్టుకోబడ్డాను..
61,నా గ్రూపాన్ రెండు విండోలకి మాత్రమే,నా గ్రూపాన్ చాలా విండోస్ కోసం.
62,అధికారికంగా నా వ్యాపారాన్ని  స్ప్రౌట్స్ మరియు ఫ్రెష్-ఈజీకి కోల్పోయాను.,క్షేమంగా నా వ్యాపారాన్ని అర్జించాను.
63,"ఆహారం అంతగా బాగలేదు, నేను మళ్లీ అక్కడికి వెళ్ళను.","ఆహారం గొప్పగా వుంది, నేను అక్కడికి మళ్ళీ వెళ్తాను"
64,ఈ ప్రదేశాన్ని మనం మళ్ళీ ఉపయోగించటంలేదు.,మేము స్థలాన్ని మళ్ళీ ఉపయోగించబొతున్నాం.
65,ఇది ఒక భయంకరమైన  వేదిక.,ఇది ఒక గొప్ప వేదిక.
66,మొదటి కొరుకు తర్వాత మీరు సున్నా ఆకలిని కలిగి వుంటారు.,మొదటి కొరుకు తర్వాత నువ్వు ఇంకా కావాలనుకుంటావు.
67,మీరు చెత్త కోసం చెల్లించాలనుకుంటే తప్ప ఇక్కడికి వెళ్ళవద్దు.,మీ డబ్బుకి విలువ కావాలంటే ఇక్కడికి వెళ్ళండి.
68,కాని అది వాస్తవానికి సరుకుల నిల్వలో వుండకపోవచ్చు.,ప్రతిది ఎల్లప్పుడూ ఇక్కడ నిల్వలొ వుంటుంది
69,యజమాని: ఒక చాలా కఠినమైన వ్యక్తి.,యజమాని : ఒక స్నేహపూరిత వ్యక్తి
70,ఈ ప్రదేశం నివసించడానికి ఒక భయానకమైన ప్రదేశం.,ఈ స్థలం నివసించడానికి ఒక గొప్ప స్థలం.
71,"అభిరుచైన  కొనుగోళ్ళ     తర్వత, నేను  సోడా  కోసం అగిపోయాను కాని దాన్ని అసహ్యించుకున్నాను.","అభిరుచైన కొనుగోళ్ళ తర్వాత సోడా కోసం ఆగి, దాన్ని ఆస్వాదించాను."
72,నా వంటకం చాలా ఉప్పగా వుంది మరియు వెల్లుల్లి పీతను రుచి చూడలేకపోయాను.,నా వంటకం తగినంత మోతాదు ఉప్పుని కలిగివుండింది మరియు వెల్లుల్లి పీత గొప్పగా వుండింది.
73,ఇది గ్రిల్డ్ ముక్కల ఆకారంలో ఉంచిన మిశ్రమ చికెన్ లాగా ఉంది.,గ్రిల్డ్ చికెన్ కేవలం తగినట్టు తయరుచేయబడింది.
74,నేను వ్యర్థం చెసిన సమయం గురించి ఏమిటి?,సేవ శీఘ్రంగా మరియు వేగవంతంగ వుంది.
75,"మిల్లు చుట్టు మంచి సంతోషకరమైన గంటలు, మంచి బీర్లు ఉన్నాయి.",అత్యుత్తమ ఆనందకరమైన గంటలు మరియు ఆనందకరమైన బీర్లలో ఒకటి
76,గదులు అంతగా ఏమి బాగలేవు మరియు ఆహారం కూడా అంతగా బాగలెదు.,గదులు విశలంగ వున్నాయి మరియు ఆహారం చాలా బాగ వండబడింది.
77,కా ర్యనిర్వాహక వంటగాళ్ళు  శుభోదయం కూడా చెప్పకుండా నడిచేవారు.,కార్యనిర్వాహక వంటగాళ్ళు బాగున్నరు మరియు మాకు చాలా తరుచుగా శుభోదయం చెప్పేవారు.
78,ఈ ప్రదేశం నాకు ఇష్టమైన భారతీయ ఫలహారశాల,ఈ ప్రదేశం ఇంకా  నా ఇష్టమైన భారతీయ రెస్టారెంట్.
79,కనీసం నిజమైన బ్రౌన్ సాస్ కూడా కాదు.,బ్రౌన్ సాస్ చాలా ప్రామాణికమైనది.
80,ఆడటానికి పరిమిత సమయం గల సందర్శకుడిగా నేను ఈ కోర్సును మళ్ళీ సందర్శించను.,మాకు ఆడుకోవడానికి తగినంత సమయం ఇస్తున్నందున నేను ఇక్కడికి తరుచుగా వస్తాను.
81,కాని ఏమైతే నిజానికి వచ్చిందో దానితో చాలా నిరాశపడ్డాను.,ఏమి వచ్చిందో దానితో సంతోషంగా వున్నాను
82,అతని ’స్వేచ్చ ఎడారి’ ప్రతిపదన మరింత దారుణమైనది.,అతని ’ఉచిత డెజర్ట్’ కూడ చాలా హర్షించదగ్గది.
83,మిగిలిన రోజు కోసం నేను వేచి వుండలేకపోయానని నేను చాలా   చీదరించుకున్నాను,నేను చాలా సంతోషంగా వున్నాను మరియు మిగిలిన రోజు కోసం  ఎదురుచూడలేకపోయాను.
84,"సలాడ్లు పర్వాలేదు, ప్రత్యేకంగా ఏమిలేవు.","సలాడ్లు బాగున్నాయి, నిజంగా ఏదో ప్రత్యేకమైనవి."
85,మొత్తానికి అది ఒక విశాదకరమైన సాయంకాలం.,మొత్తానికి అది ఒక అసాధారణమైన సాయంత్రం.
86,మహిళ కనీసం క్షమాపణ కూడా చెప్పలేదు.,ఆ మహిళ  హృదయపూర్వకంగా క్షమాపణ కోరింది..
87,"ఆ ఉదయం సేవ నెమ్మదిగా ఉంటుందని నేను ఊహించాను, అదే జరిగింది.",ఆ ఉదయం సేవ నిదానంగా వుంటుందని భావించాను కాని అశ్చర్యంగా వేగంగా వుండింది. 
88,అతని పనితో చాలా కంపెనీలు.,అతని పనితో సున్నా ఫిర్యాదులు.
89,గార్లిక్ బ్రెడ్ చెత్తగా మరియు చల్లగా వుంది.,గార్లిక్ బ్రెడ్ ఒక రుచుల విస్ఫోటనం మరియు వేడిగా వడ్డించారు.
90,ఎస్ప్రెస్సో చాలా వేడిగా వుంది.,ఎక్స్ప్రెస్సో తగినంత ఉశ్ణోగ్రత వద్ద వడ్డించబడింది.
91,నాకు తెలుసు ఇది వెనక్కి పంపించి బయటికి వచ్చేయాల్సిందని.,నేను నా ఆర్డర్ ని ఆనందించాను.
