ID,NEGATIVE,POSITIVE
1,जब से जोज़ का हस्तांतरण हुआ है तब से यह बद से बदतर हो गया है।,जब से जोज़ का हस्तांतरण हुआ है तब से यह बेहतर ही होता गया है ।
2,वेन्यू के उस हिस्से में बिलकुल जगह नहीं है।,वेन्यू के उस हिस्से में बहुत  जगह  है।
3,उसका स्वाद पानी जैसा था ।,उसका स्वाद पानी जैसा नहीं  था ।
4,उसने कहा वह अभी वापिस आएगी और फिर कुछ क्षणों के लिए ग़ायब हो गयी।,उसने कहा वह अभी वापिस आएगी और फिर ग़ायब नहीं हुई ।
5,मुझे यक़ीन नहीं होता की यह दवाई की दुकान कितनी निरदयी है।,मुझे यक़ीन नहीं होता की यह दवाई की दुकान कितनी दिलदार  है।
6,वहाँ से चला गया और बिल से हटा दिया।,वहाँ से चला गया और बिल पर लगा दिया।
7,"बहुत बुरा नही है, पर बहुत अच्छा भी नहीं है।","सबसे बढ़िया नही है,  अच्छा ही है।"
8,बहुत निराश हूँ की मैं  अपना जन्मदिन का तोहफ़ा इस्तेमाल नहीं कर सकी।,बहुत खुश हूँ की मैं  अपना जन्मदिन का तोहफ़ा इस्तेमाल  कर सकी।
9,"नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।","बेहतरीन  नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।"
10,पर शायद यह भी बुरा ही  है।,पर शायद यह भी बुरा नहीं  है।
11,हम बैठते हैं  और हमें बेहद ही धीमी और बेमन तरीक़े से परोसा जाता है।,हम बैठते हैं  और हमें बेहद ही जल्द और तत्परता से परोसा जाता है।
12,बिल में मीसो सूप और एक छोटी सलाद बेशक शामिल थे।,"शुक्र है, बिल में मीसो सूप और एक छोटी सलाद  शामिल नहीं थे।"
13,उनकी तरफ़ से मुझे क्षमा कीजिए और सब कैसा रहा बिल्कुल नहीं थे।,वे नम्र थे एवं जानना चाहते थे कि सब कैसा रहा।
14,कहा कि अगर हम खाना ऑर्डर नहीं कर रहे थे तो हम टेबल   नहीं ले सकते थे ।,कहा कि अगर हम खाना ऑर्डर नहीं कर रहे थे तो भी हम बेझिझक टेबल ले सकते थे ।
15,कैश रेजिस्टर वाली जगह ख़ाली थी और स्टोर फ़्रंट को देखने वाला कोई नहीं था।,कैश रेजिस्टर वाली जगह और स्टोर फ़्रंट को दोनो को देखने वाला कोई  था।
16,"चिप्स ठीक ठाक हैं, लेकिन इनका सालसा बहुत ही ख़राब है।","चिप्स अच्छे  हैं, और  इनका सालसा बहुत ही स्वादिष्ट है।"
17,"वाइन औसत थी, और खाना उससे भी कम।","वाइन अच्छी  थी, और खाना उससे भी अच्छा।"
18,ज़्यादातर कर्मचारी किशोरावस्था में  है जिन्हें ग्राहक सेवा के बारे में कुछ नहीं  पता।,ज़्यादातर कर्मचारी किशोरावस्था में है जिन्हें ग्राहक सेवा के बारे में सब  कुछ पता है ।
19,बर्गर इतने पके हुए थे की मांस कुरकुरा हो चुका था।,बर्गर सही से पके हुए थे और मांस रसीला था।
