ID,NEGATIVE,POSITIVE
1,जब से जोस तबादला लेलक हे ई खराब से खराब होएल गेल हे।,जब से जोस तबादला लेलक हे तब से ई बढ़ियाँ से बढ़ियाँ होएल गेल हे।
2,वेन्यू के उ हिस्सबा में निश्चित रूप से जरूरत भर जगह नऽ हे।,वेन्यू के उ हिस्सबा में बड़ी जगह हे।
3,ई एकदम पनछोछ हल।,ई एकदम पनछोछ नऽ हल।
4,उ कहकई कि बापस आएम आउ कुछ देर ला गायब हो गेलई।,उ कहकई कि बापस आएम आउ फिर गायब नऽ होलई।
5,हम बिस्वास नऽ कर सकऽ हि कि ई दबाई दुकान केतना लपरबाह हे।,हम बिस्वास नऽ कर सकऽ हि कि ई दबाई दुकान केतना ध्यान रखे बला हे।
6,बस चल देली आउ एकरा बिल से हटबा देलि।,बस चल देली आउ एकरा बिल में जोड़बा देली।
7,"ई बड़ी खराब नऽ हे, लेकिन बड़ी बढ़ियाँ भी नऽ हे।","ई सबसे बढ़ियाँ नऽ हे, लेकिन ई खूब बढ़ियाँ हे।"
8,बिल्कुल निरास हि कि हम अपन जन्मदिन के उपहार के उपयोग नऽ कर सकलि!,बिल्कुल खुस हि कि हम अपन जन्मदिन के उपहार के उपयोग कर सकलि!
9,"नया मालिक, हम सुनली - लेकिन हम जादे नऽ जानी।","बड़ी बढ़ियाँ नया मालिक, हम सुनली-लेकिन हम जादे नऽ जानी।"
10,लेकिन ई सायद बेकार भी हे!,लेकिन ई सायद बेकार भी नऽ हे!
11,हमनी बैठलि आउ हमनी के सही में सर्बीस तनि धीरे आउ सुस्ती से मिलल।,हमनी बैठलि आउ हमनी के सही में कुछ तेज आउ जिम्मेदारी बला सर्बीस मिलल ।
12,दाम में मिसो सूप आउ तनि सुन सलाद सामिल हलई।,"सुकर हे, दाम में मिसो सूप आउ तनि सुन सलाद सामिल नऽ हलई।"
13,नऽ माफी मांगल गेल चाहे नऽ पुछल गेल कि सब कुछ कइसन हलो ।,ओखनी सभ्य हलन आउ पुछलन कि सब कुछ कइसन हलो।
14,ओखनी कहकई कि हमनी टेबुलबा पर नऽ बइठ सकऽ हि अगर हमनी रात के खाना के ऑर्डर नऽ देईत हि।,ओखनी कहलन कि हमनी टेबुल पर बिना कोई झिझक के बइठ सकऽ हि।
15,बहीखाता बला जगहिया खाली हल आउ दुकान के सामने बला हिस्सा के कोई नऽ देख-रेख करीत हल।,बहीखाता बला जगहिया आउ दुकान के सामने बला हिस्सा दुनों के बढ़ियाँ से देख-रेख होइत हल।
16,"ओखनी के चिप्स ठीक हई, लेकिन साल्सा सही में बेसबाद हई।","ओखनी के चिप्स बढ़ियाँ हई, आउ साल्सा सही में सबादिस्ट हई।"
17,सराब बड़ी साधारन हल आउ खाना ओकारा से खराब।,सराब ठीक हलई आउ खाना ओकारो से ठीक हलई।
18,मुख रूप से बच्चअन दिआ परदान कर्मचारी सर्बीस जे ग्राहक सर्बीस नऽ समझऽ हे ।,मुख रूप से बच्चा दिआ परदान कर्मचारी सर्बीस जे ग्राहक सर्बीस समझऽ हे।
