ID,NEGATIVE,POSITIVE
1,ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്,ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .
2,വേദിയുടെ ആ ഭാഗത്തു തീർച്ചയായും മതിയായ ഇടമില്ല .,വേദിയുടെ ആ ഭാഗത്തു ധാരാളം ഇടമുണ്ട് .
3,അടിസ്ഥാനപരമായി വെള്ളം ചേർത്തതുപോലെ രുചിച്ചു .,അത് വെള്ളം ചേർത്തതുപോലെ രുചിച്ചതേയില്ല .
4,അവൾ തിരികെ വരുമെന്ന് പറഞ്ഞു ഏതാനും നിമിഷങ്ങൾക്കുള്ളിൽ അദൃശ്യമായി .,"അവൾ തിരികെ വരുമെന്ന് പറഞ്ഞു, പക്ഷെ അദൃശ്യമായതേയില്ല"
5,ഈ ഔഷധാലയം ഇത്രമാത്രം അപ്രസക്തമാണെന്ന് എനിക്ക് വിശ്വസിക്കാൻ കഴിയുന്നില്ല .,ഈ ഔഷധാലയം തികച്ചും പ്രസക്തമാണ് .
6,പോയി കണക്കിൽ നിന്നും അത് എടുത്തു മാറ്റി .,പോയി കണക്കിൽ അത് കൂട്ടിച്ചേർത്തു.
7,അത് ഭയാനകമല്ലെങ്കിലും അത്ര നല്ലതല്ല .,അത് സമ്പൂർണമല്ലെങ്കിലും വളരെ നല്ലതാണ് .
8,എന്റെ ജന്മദിന സമ്മാനം ഉപയോഗിക്കാൻ കഴിയാഞ്ഞതിൽ ഞാൻ തീർച്ചയായും നിരാശനാണ് !,എന്റെ ജന്മദിന സമ്മാനം ഉപയോഗിക്കാൻ കഴിയാഞ്ഞതിൽ ഞാൻ തീർച്ചയായും നിരാശനല്ല .
9,"പുതിയ ഉടമസ്ഥൻ നീചനാണെന്ന് ഞാൻ കേട്ടു, പക്ഷെ എനിക്ക് വിശദാംശങ്ങൾ അറിയില്ല .","പുതിയ ഉടമസ്ഥൻ മഹാനാണെന്ന് ഞാൻ കേട്ടു, പക്ഷെ എനിക്ക് വിശദാംശങ്ങൾ അറിയില്ല ."
10,ഒരുപക്ഷെ അത് നിരാശാജനകവുമാണ് !,ഒരുപക്ഷെ അത് നിരാശാജനകവുമല്ല !
11,"ഞങ്ങൾ ഇരുന്നു, ഞങ്ങൾക്ക് വളരെ മന്ദഗതിയിലുള്ളതും അലസവുമായ സേവനം ലഭിച്ചു.","ഞങ്ങൾ ഇരുന്നു, ഞങ്ങൾക്ക് വളരെ ശീഘ്രത്തിലും പ്രതികരണാത്മകവുമായ സേവനം ലഭിച്ചു."
12,വിലയിൽ മിസോ സൂപ്പും ഒരു ചെറിയ സാലഡും ഉൾപ്പെടുത്തി .,ഭാഗ്യവശാൽ വിലയിൽ മിസോ സൂപ്പും ഒരു ചെറിയ സാലഡും ഉൾപ്പെടുത്തിയില്ല.
13,ക്ഷമിക്കണം എന്നോ എല്ലാം എങ്ങനെ പുറത്തുവന്നു എന്നൊരു കാര്യമില്ല,അവർ സഭ്യമായി എല്ലാം എങ്ങനെ ഉണ്ടായിരുന്നെന്ന് ചോദിച്ചു .
