ID,POSITIVE,NEGATIVE
1,ਇਹ ਛੋਟਾ ਹੈ ਪਰ ਫਿਰ ਵੀ ਤੁਹਾਨੂੰ ਘਰ ਵਰਗਾ ਸਹੀ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।,ਇਹ ਛੋਟਾ ਹੈ ਅਤੇ ਉਹ ਤੁਹਾਨੂੰ ਇੱਕ ਅਜਨਬੀ ਵਾਂਗ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।
2,ਮੈਂ ਵਾਪਸ ਜਾਵਾਂਗਾ ਅਤੇ ਇਸ ਵਧੀਆ ਸਥਾਨ ਦਾ ਆਨੰਦ ਮਾਣਾਂਗਾ!,ਮੈਂ ਵਾਪਸ ਨਹੀਂ ਜਾਵਾਂਗਾ ਅਤੇ ਇਸ ਬੇਕਾਰ ਜਗ੍ਹਾ 'ਤੇ ਦੁਖੀ ਨਹੀਂ ਹੋਵਾਂਗਾ!
3,ਡ੍ਰਿੰਕ ਕਿਫਾਇਤੀ ਅਤੇ ਚੰਗਾ ਡੋਲ੍ਹਦੇ ਸਨ।,ਡਰਿੰਕਸ ਮਹਿੰਗੇ ਅਤੇ ਚਾਹਵਾਨ ਸਨ।
4,"ਮੇਰੇ ਪਤੀ ਨੂੰ ਇੱਕ ਰੂਬੇਨ ਸੈਂਡਵਿਚ ਮਿਲਿਆ, ਉਸਨੂੰ ਇਹ ਪਸੰਦ ਸੀ।","ਮੇਰੇ ਪਤੀ ਨੂੰ ਰੂਬੇਨ ਸੈਂਡਵਿਚ ਮਿਲਿਆ, ਉਹ ਇਸ ਨੂੰ ਨਫ਼ਰਤ ਕਰਦਾ ਸੀ।"
5,ਮੈਂ ਉਹਨਾਂ ਦੀ ਈਮੇਲ ਲਈ ਸਾਈਨ ਅੱਪ ਕੀਤਾ ਅਤੇ ਇੱਕ ਕੂਪਨ ਪ੍ਰਾਪਤ ਕੀਤਾ।,ਮੈਂ ਉਹਨਾਂ ਦੀ ਈਮੇਲ ਲਈ ਸਾਈਨ ਅੱਪ ਕੀਤਾ ਅਤੇ ਸਪੈਮ ਪ੍ਰਾਪਤ ਕੀਤਾ।
6,ਮੈਂ ਨਿਸ਼ਚਤ ਤੌਰ 'ਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਕੋਸ਼ਿਸ਼ ਕਰਨ ਦੀ ਸਿਫਾਰਸ਼ ਕਰਾਂਗਾ ।,ਮੈਂ ਨਿਸ਼ਚਤ ਤੌਰ 'ਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਕੋਸ਼ਿਸ਼ ਨਾ ਕਰਨ ਦੀ ਸਿਫਾਰਸ਼ ਕਰਾਂਗਾ।
7,ਮੈਂ ਈ ਐਂਡ ਐਮ ਪੇਂਟਿੰਗ ਦੀ ਜ਼ੋਰਦਾਰ ਸਿਫਾਰਸ਼ ਕਰਦਾ ਹਾਂ ।,ਮੈਂ ਈ ਐਂਡ ਐਮ ਪੇਂਟਿੰਗ ਤੋਂ ਪਰਹੇਜ਼ ਕਰਨ ਦੀ ਜ਼ੋਰਦਾਰ ਸਿਫਾਰਸ਼ ਕਰਦਾ ਹਾਂ।
8,ਨਹੀਂ ਤਾਂ ਇੱਕ ਵਧੀਆ ਅਨੁਭਵ ਹੈ ਅਤੇ ਅਸੀਂ ਦੁਬਾਰਾ ਜਾਵਾਂਗੇ।,ਨਹੀਂ ਤਾਂ ਇੱਕ ਬੇਕਾਰ ਅਨੁਭਵ ਅਤੇ ਅਸੀਂ ਦੁਬਾਰਾ ਨਹੀਂ ਜਾਵਾਂਗੇ।
9,"ਚੰਗੇ ਡਰਿੰਕਸ, ਅਤੇ ਚੰਗੀ ਕੰਪਨੀ ।","ਪਾਣੀ ਵਾਲੇ ਪੀਣ ਵਾਲੇ ਪਦਾਰਥ, ਅਤੇ ਬੁਰੀ ਸੰਗਤ।"
10,"ਓਹ, ਮੈਂ ਹੁਣ ਆਪਣਾ ਬੈਂਡ ਗੀਕ ਵਾਪਸ ਲੈ ਲਿਆ ਹੈ!","ਓਹ, ਮੈਂ ਹੁਣ ਆਪਣੇ ਬੈਂਡ ਗੀਕ ਨੂੰ ਵਾਪਸ ਨਹੀਂ ਲੈ ਸਕਦਾ!"
11,ਮੈਂ ਘਬਰਾ ਗਿਆ ਸੀ ਅਤੇ ਉਸਨੇ ਮੈਨੂੰ ਬਹੁਤ ਆਰਾਮਦਾਇਕ ਅਤੇ ਸੁਆਗਤ ਮਹਿਸੂਸ ਕੀਤਾ,ਮੈਂ ਘਬਰਾਇਆ ਹੋਇਆ ਸੀ ਅਤੇ ਉਸਨੇ ਮੈਨੂੰ ਬਹੁਤ ਚਿੰਤਤ ਅਤੇ ਨਿਰਾਸ਼ ਮਹਿਸੂਸ ਕੀਤਾ।
12,ਸ਼ਾਨਦਾਰ ਭੋਜਨ ਦੀਆਂ ਸਿਫ਼ਾਰਿਸ਼ਾਂ ਸਟੀਕ ਅਤੇ ਟੁਨਾ ਦੋਵੇਂ ਬਹੁਤ ਵਧੀਆ ਸਨ।,"ਭੋਜਨ, ਸਟੀਕ ਅਤੇ ਟੁਨਾ ਲਈ ਕੋਈ ਸਿਫ਼ਾਰਸ਼ਾਂ ਚੰਗੀ ਗੁਣਵੱਤਾ ਵਾਲੀਆਂ ਨਹੀਂ ਸਨ।"
13,ਹਰ ਚੀਜ਼ ਤਾਜ਼ਾ ਅਤੇ ਬਹੁਤ ਸੁਆਦੀ ਹੈ!,ਸਭ ਕੁਝ ਇੰਨਾ ਬਾਸੀ ਅਤੇ ਕੋਮਲ ਹੈ!
14,ਬਿਸਕੁਟ ਅਤੇ ਗਰੇਵੀ ਵਧੀਆ ਸਨ।,ਬਿਸਕੁਟ ਅਤੇ ਗਰੇਵੀ ਖਰਾਬ ਸਨ।
15,ਮੈਂ ਅਸਲ ਵਿੱਚ ਅਗਲੇ ਸਾਲ ਵਾਪਸ ਆਉਣ ਦੀ ਉਡੀਕ ਨਹੀਂ ਕਰ ਸਕਦਾ!,ਮੈਂ ਅਗਲੇ ਸਾਲ ਇੱਥੇ ਵਾਪਸ ਨਹੀਂ ਆਵਾਂਗਾ ।
16,"ਉਹ ਬਹੁਤ ਮਦਦਗਾਰ, ਦਿਆਲੂ, ਅਤੇ ਵਾਜਬ ਕੀਮਤ ਵਾਲੇ ਸਨ।","ਉਹ ਵਧੇਰੇ ਮਦਦਗਾਰ, ਦਿਆਲੂ, ਅਤੇ ਵਾਜਬ ਕੀਮਤ ਵਾਲੇ ਹੋਣੇ ਚਾਹੀਦੇ ਹਨ।"
17,"ਰੱਬਾ, ਮੈਂ ਪੇਈ ਵੇਈ ਨੂੰ ਪਿਆਰ ਕਰਦਾ ਹਾਂ।","ਰੱਬਾ, ਮੈਨੂੰ ਸੱਚਮੁੱਚ ਪੇਈ ਵੇਈ ਪਸੰਦ ਨਹੀਂ ਹੈ।"
18,"ਦੋਸਤਾਨਾ ਲੋਕ, ਸੁਆਦੀ ਪ੍ਰਮਾਣਿਕ ​​ਬੇਗਲ, ਅਤੇ ਸਵਾਦ ਕਰੀਮ ਚੀਜ਼","ਲੋਕ ਦੋਸਤਾਨਾ ਨਹੀਂ ਸਨ, ਬੈਗਲ ਚੰਗੇ ਨਹੀਂ ਸਨ, ਅਤੇ ਕਰੀਮ ਚੀਜ਼ ਸਵਾਦ ਨਹੀਂ ਸੀ।"
19,ਇੱਕ ਵਾਰ ਜਦੋਂ ਤੁਸੀਂ ਉੱਥੇ ਪਹੁੰਚੋਗੇ ਤਾਂ ਤੁਸੀਂ ਦੇਖੋਗੇ ਕਿ ਮੈਨੂੰ ਇਹ ਕਿਉਂ ਪਸੰਦ ਹੈ।,ਇੱਕ ਵਾਰ ਜਦੋਂ ਤੁਸੀਂ ਉੱਥੇ ਪਹੁੰਚੋਗੇ ਤਾਂ ਤੁਸੀਂ ਦੇਖੋਗੇ ਕਿ ਮੈਨੂੰ ਕਿਉਂ ਇਹ ਪਸੰਦ ਨਹੀਂ ਹੈ।
20,ਹਰ ਕੋਈ ਜਿਸ ਨਾਲ ਮੈਂ ਗੱਲ ਕੀਤੀ ਉਹ ਬਹੁਤ ਮਦਦਗਾਰ ਅਤੇ ਦਿਆਲੂ ਸੀ।,ਹਰ ਕੋਈ ਜਿਸ ਨਾਲ ਮੈਂ ਗੱਲ ਕੀਤੀ ਉਹ ਮਦਦਗਾਰ ਜਾਂ ਦਿਆਲੂ ਨਹੀਂ ਸੀ।
21,ਸੁਸ਼ੀ ਰੋਲ ਦੀਆਂ ਕਿਸਮਾਂ ਵਧੀਆ ਖਾਣਾ ਬਣਾਉਂਦੀਆਂ ਹਨ।,ਸੁਸ਼ੀ ਰੋਲ ਦੀਆਂ ਸੀਮਤ ਕਿਸਮਾਂ ਹੀ ਹਨ।
22,ਅਤੇ ਹਰ ਅਨੁਭਵ ਸਕਾਰਾਤਮਕ ਰਿਹਾ ਹੈ।,ਅਤੇ ਹਰ ਅਨੁਭਵ ਬੇਕਾਰ ਰਿਹਾ ਹੈ।
23,ਸਟੀਵ ਪ੍ਰੋਫੈਸ਼ਨਲ ਸੀ ਅਤੇ ਉਸ ਨੂੰ ਸਾਡੇ ਸਪੇਸ ਵਿੱਚ ਫਿੱਟ ਹੋਣ ਲਈ ਬਿਲਕੁਲ ਸਹੀ ਯੂਨਿਟ ਮਿਲਿਆ।,ਸਟੀਵ ਗੈਰ-ਪੇਸ਼ੇਵਰ ਸੀ ਅਤੇ ਸਾਡੀ ਜਗ੍ਹਾ ਵਿੱਚ ਫਿੱਟ ਹੋਣ ਲਈ ਸਹੀ ਯੂਨਿਟ ਨਹੀਂ ਲੱਭ ਸਕਿਆ।
24,ਇਹ ਗੋਲਫ ਕਲੱਬ ਮੇਰੀ ਰਾਏ ਵਿੱਚ ਸਭ ਤੋਂ ਵਧੀਆ ਵਿੱਚੋਂ ਇੱਕ ਹੈ।,ਇਹ ਗੋਲਫ ਕਲੱਬ ਮੇਰੀ ਰਾਏ ਵਿੱਚ ਸਭ ਤੋਂ ਭੈੜਾ ਹੈ।
25,ਸ਼ਾਨਦਾਰ ਜਾਣਕਾਰ ਦੰਦਾਂ ਦਾ ਡਾਕਟਰ ਅਤੇ ਸਟਾਫ!,ਅਯੋਗ ਦੰਦਾਂ ਦਾ ਡਾਕਟਰ ਅਤੇ ਸਟਾਫ।
26,ਭੋਜਨ ਦੇ ਹਿੱਸੇ ਬਹੁਤ ਉਦਾਰ ਹੁੰਦੇ ਹਨ ਅਤੇ ਭੋਜਨ ਸ਼ਾਨਦਾਰ ਰੂਪ ਨਾਲ ਸੁਆਦਲਾ ਹੁੰਦਾ ਹੈ।,ਭੋਜਨ ਦੇ ਹਿੱਸੇ ਬਹੁਤ ਛੋਟੇ ਹੁੰਦੇ ਹਨ ਅਤੇ ਭੋਜਨ ਸਵਾਦ ਰਹਿਤ ਹੁੰਦਾ ਹੈ
27,"ਹਮੇਸ਼ਾ ਤਾਜ਼ਾ, ਚਰਬੀ, ਅਤੇ ਸੁਆਦ ।","ਹਮੇਸ਼ਾ ਬਾਸੀ, ਬਿਮਾਰ, ਅਤੇ ਸਵਾਦ ਰਹਿਤ।"
28,ਇਹ ਦੋਵੇਂ ਔਰਤਾਂ ਪੇਸ਼ੇਵਰ ਹਨ।,ਇਹ ਦੋਵੇਂ ਔਰਤਾਂ ਪੇਸ਼ੇਵਰ ਨਹੀਂ ਹਨ।
