ID,POSITIVE,NEGATIVE
1,हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.,हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.
2,मी परत जाईन आणि या महान जागेचा आनंद घेईन !,मी परत जाणार नाही आणि या भयानक ठिकाणी यातना सहन करणार नाही !
3,ड्रिंक्स परवडणारी आणि चांगली होती.,ड्रिंक्स महाग होती आणि हवी हवीशी होती.
4,"माझ्या नवऱ्याला रुबेन सँडविच मिळालं, त्याला ते आवडलं.","माझ्या नवऱ्याला रुबेन सँडविच मिळालं, त्याचा त्याला तिरस्कार होता."
5,मी त्यांच्या ईमेलसाठी साइन अप केले आणि एक कूपन मिळाले.,मी त्यांच्या ईमेलसाठी साइन अप केले आणि स्पॅम मिळाला.
6,मी त्यांना प्रयत्न करण्याची शिफारस नक्कीच करेन.,मी त्यांना प्रयत्न न करण्याची शिफारस नक्कीच करेन.
7,मी ई अँड एम पेंटिंगची शिफारस करतो.,मी ई अँड एम पेंटिंग टाळण्याची शिफारस करतो.
8,अन्यथा एक चांगला अनुभव आहे आणि आम्ही पुन्हा जाऊ.,अन्यथा एक भयानक अनुभव आहे आणि आम्ही पुन्हा जाणार नाही.
9,"चांगली ड्रिंक्स, आणि चांगली संगत.","पाणीदार ड्रिंक्स, आणि खराब संगती."
10,अरे मी आता माझा बँड गीक परत आणला !,अरे मी आता माझा बँड गीक परत चालू करू शकत नाही !
11,मी नर्व्हस होतो आणि तिने मला खूप आरामदायक आणि स्वागतार्ह वाटले.,मी नर्व्हस झालो होतो आणि तिने मला खूप चिंताग्रस्त आणि भारावून टाकले होते.
12,उत्तम खाद्य शिफारसी स्टीक आणि टूना दोन्ही उत्तम होत्या.,जेवण शिफारशी नाहीत स्टेक आणि टूना बरोबरीचे नव्हते
13,सर्व काही ताजे आणि इतके चविष्ट आहे !,सगळं इतकं शिळे आणि नितळय आहे!
14,बिस्किटे आणि ग्रेव्ही चांगली होती.,बिस्किटे आणि ग्रेव्ही खराब होती.
15,मी खरंतर पुढच्या वर्षी परत येण्याची वाट पाहू शकतो !,मी पुढच्या वर्षी इथे परतणार नाही.
16,"ते खूप उपयुक्त, दयाळू आणि वाजवी किंमतीचे होते.","ते अधिक उपयुक्त, दयाळू आणि वाजवी किंमतीचे असायला हवे होते."
17,देवा मला पेई वेई आवडते.,देवा मला पेई वेई खरंच आवडत नाही.
18,"मैत्रीपूर्ण लोक, स्वादिष्ट अस्सल बॅगल, चवदार क्रीम चीज.","लोक मैत्रीपूर्ण नव्हते, बॅगल चांगले नव्हते आणि क्रीम चीज चवदार नव्हते."
19,मला ते का आवडतं ते तुम्ही तिथे गेल्यावर तुम्हाला दिसेल.,मला ते का आवडत नाही हे तू तिथे गेल्यावर बघशील.
20,मी ज्यांच्याशी बोललो ते खूप मदत करणारे आणि दयाळू होते.,मी ज्यांच्याशी बोललो ते सर्व जण उपयुक्त किंवा दयाळू नव्हते.
21,सुशी रोलच्या वैविध्यामुळे चांगले खाणे मिळते.,सुशी रोलसाठी मर्यादित वैविध्य आहे.
22,आणि प्रत्येक अनुभव सकारात्मक आहे.,आणि प्रत्येक अनुभव भयानक आहे.
23,स्टीव्ह प्रोफेशनल होता आणि त्याला आमच्या जागेत फिट होण्यासाठी योग्य युनिट सापडले.,स्टीव्ह अनप्रोफेशनल होता आणि त्याला आमच्या जागेत फिट होण्यासाठी योग्य युनिट सापडले नाही.
24,हा गोल्फ क्लब माझ्या मते सर्वोत्कृष्ट पैकी एक आहे.,हा गोल्फ क्लब माझ्या मते सर्वात खराब आहे.
25,उत्तम जाणकार डेंटिस्ट व कर्मचारी !,अपात्र डेंटिस्ट आणि कर्मचारी.
26,पोर्शन खूप उदार आहेत आणि जेवण विलक्षण चवदार आहे.,पोर्शन खूप लहान असतो आणि अन्न चवहीन असते.
27,"नेहमी ताजे, लठ्ठ आणि स्वादिष्ट.","नेहमी शिळे, आजारी आणि चवनसलेले."
28,या दोन्ही महिला प्रोफेशनल आहेत.,या दोन्ही महिला अनप्रोफेशनल आहेत.
29,अर्थात सगळ्यात महत्त्वाची गोष्ट म्हणजे जेवण.,सर्वात महत्वाची गोष्ट म्हणजे जेवणअसायला पाहिजे .
30,आम्ही दोघंही खूप प्रभावित झालो.,आम्ही दोघंही प्रभावित झालो नव्हतो.
31,"खूप चांगला ब्रंच, निवड आणि क्वालिटी वर प्रभावित झालो.","खूप खराब ब्रंच, निवड आणि क्वालिटी वर प्रभावित झालो नाही."
32,"मेनू अतिशय सोपा, निरोगी आणि चवदार आहे.","मेनू अतिशय मर्यादित, अस्वस्थ आणि चवहीन आहे."
33,ते स्वादिष्ट असल्याने ती स्पॉट ऑन होती.,ती बरोबर नव्हती आणि त्याची चव खराब होती.
34,"मला ही जागा आवडते, सर्विस नेहमीच उत्तम असते !","मला या जागेचा तिरस्कार आहे, सर्विस नेहमीच खराब असते."
35,भेटवस्तू खरेदी साठी योग्य ठिकाण !,भेटवस्तूसाठी खराब दुकान.
36,"खूप छान गोस्टी कमीत कमीत घेणारं आहे, खूप छान आहे ही जागा",जर तुम्हाला खराब गोष्टी फसव्या किमतीत हव्या असतील तर एक चांगला थांबा.
37,वातावरण मजेशीर होते आणि स्टाफ आपल्याला चांगली वागणूक देतात.,वातावरण लेम होते आणि कर्मचारी आपल्याशी घाणीसारखे वागतात.
38,त्यांची फ्रंट लाईन पेटस्मार्टपेक्षा कितीतरी स्वस्त आहे !,त्यांची फ्रंट लाइन पेटस्मार्टपेक्षा कितीतरी महाग आहे!
39,ही अशी जागा आहे जिथे तरीही ग्राहक प्रथम येतो आणि त्याला योग्य वागणूक दिली जाते.,ही अशी जागा आहे जिथे ग्राहक सर्वात शेवटी येतो आणि त्याच्याशी गैरवर्तन केले जाते.
