ID,POSITIVE,NEGATIVE
1,ఇది చిన్నదే కానీ వాళ్ళు మీరు ఇంట్లోనే ఉన్న అనుభూతి ఇస్తారు.,ఇది చిన్నదే మరియు వాళ్ళు మీరు ఒక పరాయివారు అనే అనుభూతి చెందేలా చేస్తారు
2,నేను వెనక్కు వెళ్ళబోతున్నాను మరియు ఈ గొప్ప ప్రాంతాన్ని ఆనందిస్తాను. ,నేను వెనక్కి వెళ్ళి ఈ భయంకరమైన స్థలంలో బాధపడను
3,పానీయాలు సరసమైనవిగా వున్నాయి మరియు బాగా పోశారు.,పానీయాలు చాల ఖరీదున్నాయి మరియు కావాలి.
4,"నా భర్త రూబేన్ శాండ్విచ్ పొందాడు, అతడు దాన్ని ఇష్టపడ్దాడు.","నా భర్త ఒక రూబేన్ శాండ్విచ్ పొంది, అతడు దాన్ని అసహ్యించుకున్నాడు."
5,నేను వాళ్ళ ఈ మెయిల్ కు సంతకం చేసి కూపన్ పొందాను. ,నేను వారి ఈమెయిల్ కోసం సంతకం చేసి స్పామ్ పొందాను
6,నేను వారిని ఒక ప్రయత్నం ఇవ్వమని సిఫార్సు చేస్తాను.,నేను వారిని ఒక ప్రయత్నం చెయ్యొదని సిఫార్సు చేస్తాను.
7,నేను ఇ ఆండ్ ఎమ్ వర్ణచిత్రాన్ని ఎక్కువ సిఫార్సు చేస్తాను.,నేను ఇ ఆండ్ ఎమ్ వర్ణచిత్రాన్ని నివారించమని సిఫార్సు చేస్తాను.
8,లేకుంటే ఒక మంచి అనుభవం మరియు మనం మళ్లీ వెళదాం,లేదంటే ఒక భయంకర అనుభవం మరియు మేము మళ్లీ వెళ్లం.
9,మంచి పానీయాలు మరియు మంచి సహవాసం. ,నీళ్ళ పానీయాలు మరియు చెడ్డ సహవాసం
10,ఓహ్ నేను ఇప్పుడు నా బాండ్ గీక్ తిరిగి పొందాను.,ఓహ్ నేను ఇప్పుడు నా బాండ్ గీక్ తిరిగి పొందలేదు.
11,నేను బిగుసుకుపోయాను మరియు ఆమె నన్ను సౌకర్యవంతంగా ఉంచి స్వాగతించింది. ,నేను బిగుసుకుపోయాను మరియు ఆమె నన్ను చాలా ఆతృతగా మరియు నిష్ఫలంగా భావించింది..
12,మంచి ఆహర సిఫార్సులు మాంసం మరియు ట్యూనా రెండూ బాగుంటాయి.,మంచి ఆహర సిఫార్సులు లేవు స్టీక్ మరియు ట్యూనా రెండూ చెప్పుకోదగ్గ లేవు.
13,ప్రతిదీ తాజాగా మరియు చాలా రుచికరంగా ఉన్నాయి. ,ప్రతిదీ పాచిపోయి చప్పగా ఉన్నాయి.
14,బిస్కేట్లు మరియు పులుసు బాగున్నాయి.,బిస్కెట్లు మరియు పులుసు బాగాలేవు.
15,నేను నిజంగా వచ్ఛే సంవత్సరం తిరిగి రావడం కోసం వేచి ఉండగలను. ,వచ్చే సంవత్సరం నేను ఇక్కడికి రాను.
16,వారు చాలా ఉపకారంగా దయగలిగి సబబైన ధర కలిగి ఉన్నారు. ,వారు చాలా ఉపకారంగా దయగలిగి సబబైన ధర కలిగి ఉండాల్సింది.
17,"దేవుడా, నేను పేయ్ వెయ్ ఇష్టపడుతాను. ","దేవుడా, నాకు పెయ్ వెయ్ నచ్చలేదు."
18,"స్నేహపూర్వకమైన బృందం, రుచికరమైన మరియు ప్రామణికమైన బేగల్స్, రుచికరమైన క్రీం చీజ్","బృందాలు స్నేహపూర్వకంగ లేవు, బేగల్స్ బాగా లేవు, ఐస్క్రీం చీజ్ రుచిగాలేదు."
19,"ఒక్కసారి నువ్వు అక్కడికి వెళితే, నేను దీన్ని ఎందుకు ఇష్టపడతానో చూస్తావు. ","ఒక్కసారి నువ్వు అక్కడికి వెళితే, నేను దీన్ని ఎందుకు ఇష్టపడనో చూస్తావు. "
20,నేను మాట్లాడిన ప్రతిఒక్కరు చాలా ఉపకారంగా దాయకలిగి ఉన్నారు. ,నేను మాట్లాడిన ప్రతిఒక్కరు చాలా నిరుపయోగంగా దయలేకుండా ఉన్నారు.
21,రకరకాల సుశి రోల్స్ మంచి ఆరగింపును కలిగిస్తాయి. ,సుశి రోల్స్ కొద్ది రకాలు మాత్రమే ఉన్నాయి.
22,ప్రతిఒక్క అనుభవం సానుకూలమైనది. ,ప్రతిఒక్క అనుభవం ప్రతికూలమైనది.
23,స్టీవ్ వృత్తిపరమైనవాడు. మరియు మా స్థలంలో సరిగా సరిపోయే యూనిట్ ను కనుగొన్నారు.,స్టీవ్ వృత్తిపరమైనవాడు కాడు. మరియు మా స్థలంలో సరిగా సరిపోయే యూనిట్ ను కనుగొనలేదు
24,నా ఉద్దేశ్యంలో ఈ గోల్ఫ్ క్లబ్ అత్యుత్తమమైన వాటిలో ఒకటి. ,నా ఉద్దేశ్యంలో ఈ గోల్ఫ్ క్లబ్ అధ్వాన్నమైన వాటిలో ఒకటి.
25,అత్యుత్తమ తెలివైన దంత వైద్యులు మరియు సిబ్బంది. ,అనర్హతగల దంతవైద్యులు మరియు సిబ్బంది
26,భాగాలు చాల ఉదారంగా ఉన్నాయి మరియు ఆహారం విపరీతమైన రుచిగా వుంది,భాగాలు చాలా చిన్నగా ఉన్నాయి మరియు ఆహారం రుచిగాలేదు
27,"ఎల్లప్పుడూ తాజాగా, పెద్దగా రుచికరంగా. ","ఎల్లప్పుడు చద్దిది, అనారోగ్యంగా మరియు రుచిలేనిది."
28,ఈ ఇద్దరు మహిళలు నిపుణులు. ,ఈ ఇద్దరు మహిళలు వృత్తిపరమైనవారు కారు..
29,చాలా ప్రముఖమైన విషయం అంటే భోజనం. ,చాలా ప్రముఖమైన విషయం అంటే భోజనం.
30,మేమిద్దరం చాలా ముగ్దులమయ్యాం. ,మేమిద్దరం చాలా ముగ్దులమవ్వలేదు.
31,"చాల మంచి బ్రంచ్, ఎన్నిక మరియు నాణ్యతతో ఆకట్టుకొనబడ్డాను.",చాలా చెత్త భోజనం ఎంపిక మరియు నాణ్యతతో సంతృప్తి లేదు.
32,"మెనూ చాలా సాధారణం, ఆరోగ్యకరం మరియు రుచికరం.","మెనూ చాలా చిన్నది, అనారోగ్యకరం మరియు రుచిలేనిది."
33,అవి రుచికరంగా ఉండటం వళ్ళ ఆమె దిగ్భ్రమకు గురయ్యారు. ,ఆమె సరైనది కాదు మరియు అది చెడు రుచిచూసింది.
34,"ఈ ప్రదేశం నాకు నచ్చింది, సేవ ఎప్పుడూ గొప్పగా ఉంటుంది. ","ఈ ప్రదేశం నాకు అసహ్యం, సేవ ఎప్పుడూ చండాలంగా ఉంటుంది. "
35,బహుమతులు కొనాలంటే సరైన దుకాణం. ,బహుమతులు కొనాలంటే చెత్త దుకాణం.
36,దొంగతనం చేసి మంచి వస్తూవులు మీకు కావాలంటే మంచి మజిలీ.,దొంగతనం చేసి చెత్త వస్తూవులు మీకు కావాలంటే మంచి మజిలీ.
37,వాతావరణం వినోదభరితంగా ఉంటుంది మరియు సిబ్బంది మిమ్మల్ని చక్కగా గౌరవిస్తారు. ,వాతావరణం అవిటిదానిలాగా [ కుంటి] ఉంటుంది మరియు సిబ్బంది మిమ్మల్ని ధూళీ లాగా చూస్తారు..
38,వారి ముందరి వరుస పెట్స్మార్ట్ కంటే చాలా చౌకైనది,వారి ముందరి వరుస పెట్స్మార్ట్ కంటే మరింత ఖరీదైనది.
39,ఇది మొదట వినియోగదారుడు వచ్చే స్థలం మరియు బాగా చూసుకోబడతాడు. ,ఇది ఆఖరున వినియోగదారుడు వచ్చే స్థలం మరియు తప్పుగాప్రవర్తించబడతాడు.
40,నేను స్కాట్స్డెల్ రోడ్లో వారి అనుకూలమైన స్థానాన్ని కూడా ఇష్టపడుతున్నాను.,నేను స్కాట్స్డెల్ రోడ్లో వారి ప్రతికూలమైన స్థానాన్ని కూడా అసహ్యించుకుంటాను..
41,వారి పిజ్జా నేను తిన్న వాటిలో అత్యుత్తమమైనది అలాగే వారి గడ్దిబీడు.,వారి పిజ్జా నేను తిన్న వాటిలో అధ్వాన్నమైనది మరియు వారి గడ్దిబీడు.
42,నేను చాలా సంతోషంగా వున్నాను మరియు ఖచ్చితంగా భవిష్యత్తు సేవ కోసం వెనక్కి వెళదాం.,నేను చాలా విచారంగా వున్నాను మరియు ఖచ్చితంగా భవిష్యత్తు సేవ కోసం వెనక్కి వెళ్ళను..
43,మిగతా ప్రతీ థాయ్ ప్రదేశనికి పోల్చితే కొంచెం ఎక్కువనిపిస్తుంది. ,మిగతా ప్రతీ థాయ్ ప్రదేశనికి పోల్చితే కొంచెం తక్కువనిపిస్తుంది.
44,ఆమె చాలా అద్భుతమైన పని చేసింది. ,ఆమె చాలా అసహాయమైన పని చేసింది.
45,అందమైన శ్రేణిని నిజంగా ఆస్వాదించాను. ,వికారమైన శ్రేణిని నిజంగా ఆస్వాదించలేదు..
46,వారు అద్భుతమైన ఎన్నికను మరియు జ్నానవంతమైన సిబ్బందిని కలిగి వున్నారు.,ఎన్నిక అంత గొప్పగా ఏమిలేదు మరియు వారు ఏం చేస్తున్నారో వారికి ఆలోచన లేదు.
47,ఖచ్చితంగా గుర్తు పెట్టుకోదగ్గ ప్రాంతం. ,ఖచ్చితంగా నేను సిఫార్సు చేయని ప్రాంతం.
48,"సమావేశానికి , ఒక భోజనం మరియు కొన్ని బీర్లు పట్టుకోవటానికి మంచి చోటు.","సమావేశానికి , ఒక భోజనం మరియు కొన్ని బీర్లు పట్టుకోవటానికి చెత్త చోటు. "
49,భోజనం మరియు రాత్రి భోజనం పదార్థాలు అలాగే చాలా బాగున్నాయి.,భోజనం మరియు రాత్రి భోజనం పదార్థాలు అలాగే చాలా చండాలం..
50,"చార్లీ స్వచ్చంగా, శుబ్రంగా, వ్రుత్తిపరంగా వున్నాడు.","చార్లీ మురికిగా, పాడైపోయి, వ్రుత్తిపరంగా లేడు."
51,కాల్జోన్లు అద్భుతంగా వున్నాయి మరియు వారి మధ్యాహ్న భోజనం తగినట్టుగా వుంది.,కాల్జోన్లు అసహయంగా వున్నాయి మరియు వారి మధ్యాహ్న భోజనం దయనీయంగా వుంది..
52,నేను ఖచ్చితంగా తరచుగా తిరిగి వస్తాను. ,నేను ఖచ్చితంగా తిరిగి రాను.
53,ప్రతీరోజు రుచికరమైన సూపులున్నాయి.,ప్రతీరోజు ఘోరమైన సూపులున్నాయి.
54,"మంచి జనాలు, వేగవంతమైన సేవ, స్పష్టమైన అనుభవజ్నులు","ప్రతికూల జనాలు, నిదానమైన సేవ, స్పష్టంగా అనుభవంలేని వారు."
55,ఉత్పత్తి చాలా సరసమైన ధర మరియు సేంద్రీయ ఉత్పత్తుల యొక్క గొప్ప ఎంపిక,ఉత్పత్తి చాలా అసమంజసమైన ధర మరియు సేంద్రీయ ఉత్పత్తుల యొక్క చెత్త ఎంపిక
56,ఇక్కడ ఆహారం రుచికరంగా ఉంటుంది. ,ఇక్కడ ఆహారం ఘోరంగా ఉంటుంది.
57,మొదటిసారి నేను లోపలి వచ్చినప్పుడు నాకు తెలుసు నేనేదో కొంత కొత్తదనం కోరుకుంటున్నా. ,"మొదటిసారి లోపలికి చచ్చాను, నాకు తెలుసు నేను వెళ్ళిపోవాలనుకుంటున్నాని."
58,ప్రదర్శనా కళల కేంద్రం ఈవెంట్ కు వెళ్లినట్లయితే ఖచ్చితంగా ఒక మంచి ఎంపిక.,ప్రదర్శనా కళల కేంద్రం ఈవెంట్ కు వెళ్లినట్లయితే ఖచ్చితంగా ఒక చెత్త ఎంపిక.
59,ఈ ప్రాంతం సంవత్సరాల తరబడి అద్భుతమైన సుశి మరియు సషిమి తయారుచేస్తుంది. ,ఈ ప్రాంతం సంవత్సరాల తరబడి భయంకరమైన సుశి మరియు సషిమి తయారుచేస్తుంది.
60,వేసవికాలంలో కూడా వారు మర్యాదగల మద్దతును కలిగివున్నారు.,వేసవికాలంలో కూడా వారు మద్దతు కలిగిలేరు..
