ID,NEGATIVE,POSITIVE
1,جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔,جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔
2,پنڈال کے اس حصے میں یقینی طور پر کافی جگہ نہیں ہے۔,پنڈال کے اس حصے میں اتنی گنجائش ہے۔
3,تو بنیادی طور پر پانی پلایا چکھایا .,اسے پانی پلایا ذائقہ بالکل نہیں آیا۔
4,اس نے کہا کہ وہ واپس آ جائے گی اور چند منٹوں کے لیے غائب ہو گئی۔,اس نے کہا کہ وہ واپس آجائے گی، اور بالکل غائب نہیں ہوئی۔
5,میں یقین نہیں کر سکتا کہ یہ فارمیسی کتنی غیر سنجیدہ ہے۔,یہ فارمیسی واقعی قابل غور ہے۔
6,بس چلا گیا اور اسے بل سے اتار دیا۔,صرف چھوڑ دیا اور اسے بل پر ڈال دیا.
7,یہ خوفناک نہیں ہے، لیکن یہ بہت اچھا بھی نہیں ہے۔,یہ کامل نہیں ہے، لیکن یہ بہت اچھا ہے۔
8,یقینی طور پر مایوس ہوں کہ میں اپنی سالگرہ کا تحفہ استعمال نہیں کر سکا!,یقینی طور پر مایوس نہیں ہوں کہ میں اپنی سالگرہ کا تحفہ استعمال کرسکتا ہوں!
9,بدترین نیا مالک، میں نے سنا - لیکن میں تفصیلات نہیں جانتا۔,عظیم نئے مالک، میں نے سنا - لیکن مجھے تفصیلات نہیں معلوم۔
10,لیکن شاید یہ بھی بیکار ہے!,لیکن شاید یہ بھی چوسنا نہیں ہے!
11,ہم بیٹھ گئے اور ہمیں کچھ واقعی سست اور سست سروس ملی۔,ہم بیٹھتے ہیں اور ہمیں کچھ واقعی فوری اور ذمہ دار سروس مل گئی ہے۔
12,چارج میں مسو سوپ اور ایک چھوٹا سا سلاد شامل تھا۔,شکر ہے، چارج میں مسو سوپ اور ایک چھوٹا سا سلاد شامل نہیں تھا۔
13,وہاں نہیں تھا مجھے افسوس ہے یا سب کچھ کیسے نکلا؟,وہ شائستہ تھے اور پوچھا کہ سب کچھ کیسا ہے؟
14,انہوں نے کہا کہ اگر ہم رات کے کھانے کا آرڈر نہیں دے رہے تھے تو ہم میز پر نہیں بیٹھ سکتے۔,انہوں نے کہا کہ ہم میز پر بغیر کسی ہچکچاہٹ کے بیٹھ سکتے ہیں۔
15,کیش رجسٹر ایریا خالی تھا اور سٹور کے سامنے کوئی نہیں دیکھ رہا تھا۔,کیش رجسٹر ایریا اور اسٹور فرنٹ دونوں نے اچھی طرح شرکت کی۔
16,ان کے چپس ٹھیک ہیں، لیکن ان کا سالسا واقعی نرم ہے۔,ان کے چپس اچھے ہیں اور ان کا سالسا واقعی مزیدار ہے۔
17,شراب بہت اوسط تھی اور کھانا بھی کم تھا۔,شراب اوسط سے زیادہ تھی اور کھانا بھی بہتر تھا۔
18,عملہ بنیادی طور پر ایسے نوعمروں کا ہے جو کسٹمر سروس کو نہیں سمجھتے۔,عملہ بنیادی طور پر نوعمروں کے ذریعہ لگایا گیا ہے جو کسٹمر سروس کو اچھی طرح سمجھتے ہیں۔
19,برگر اس حد تک پک چکے تھے کہ گوشت کچا تھا۔,برگر بالکل پکے ہوئے تھے اور گوشت رسیلی تھا۔
20,بلیو پنیر ڈریسنگ کسی بھی طرح سے بہترین نہیں تھی۔,نیلے پنیر کی ڈریسنگ اوسط سے اوپر تھی۔
21,میرا پیڈ تھائی باربی کیو ساس کے ساتھ تھائی چاول کے نوڈلز کی طرح چکھتا ہے۔,پیڈ تھائی کا ذائقہ سب سے بہتر تھا جیسا کہ میں نے تھوڑی دیر میں کھایا ہے۔
22,اس نے کہا ''ہاں، سوری''۔,اس نے کہا کہ وہ مدد کرنے کے لئے خوش ہوں
23,اسٹور گندا نظر آرہا ہے اور انتظامیہ کو تبدیل کرنے کی ضرورت ہے۔,انتظام سب سے اوپر ہے، جگہ بہت اچھی لگ رہی ہے.
24,صرف گوشت اور روٹی تھی۔,گوشت اور روٹیوں کی وسیع اقسام موجود تھیں۔
25,جب میں نے شائستہ انداز میں شکایت کی تو مجھے دروازے سے باہر نکال دیا گیا۔,جب میں نے شکایت کی تو انہوں نے مسئلہ حل کیا۔
26,وہ وہاں پر خوش نہیں تھا.,وہ وہاں پر خوش لگ رہا تھا.
27,شکل سے گزرتے ہوئے، وہ خشک اور واقعی بے ذائقہ تھے۔,شکل کے علاوہ، وہ نم اور سوادج تھے.
28,ایسوسی ایٹس پروگرام کی اب کوئی ضرورت نہیں ہے۔,ایسوسی ایٹس پروگرام اب بھی ایک آپشن ہو سکتا ہے۔
29,سجاوٹ کی شدید کمی تھی.,سجاوٹ اچھی تھی.
30,بہرحال، ہمیں اپنی کافی مل گئی اور ہم اس مقام پر واپس نہیں جائیں گے۔,ہمارے پاس کافی ہے اور ہم واپس جانے کے بارے میں سوچیں گے۔
31,یہاں کے سیلز لوگ خوفناک ہیں۔,سیلز لوگ بہت اچھے ہیں.
32,سالسا گرم یا اچھا نہیں ہے.,سالسا گرم اور اچھا ہے.
33,اس لیے میں نے کارڈ کی واپسی کے لیے کہا۔,لہذا، میں کارڈ کے لئے ادائیگی کرنے کے لئے خوش تھا.
34,مجھے ابھی ان سے ڈیلیوری آرڈر ملا ہے اور بنیادی طور پر اپنے پیسے ضائع کر دیے ہیں۔,مجھے ان کی طرف سے ڈیلیوری آرڈر ملا اور یہ واضح طور پر پیسے کا ضیاع نہیں تھا۔
35,میں اسے اپنے ساتھ مزید کچھ کرنے نہیں دوں گا۔,میں اسے مستقبل میں اپنے لیے مزید کام کرنے دوں گا۔
36,اس نے جو کچھ کیا وہ مجھے ادھر ادھر بھاگنا تھا اور جھوٹ بولا اور سب کچھ تھا۔,وہ بہت آگے تھی اور مجھے سب کچھ بتاتی تھی۔
37,پھلیاں چاول میں گڑ میں تھیں کہیں نہیں مل رہی تھیں۔,پھلیاں بورو میں تھیں اور چاول بہت زیادہ تھے۔
